geo_fips,cal_yr,cty_pop,real_inc_pc,real_earn_pj
19000,1980,2914018,31877.996666666666,44201.81051282051
19000,1981,2907985,32334.691284403667,44435.71353211009
19000,1982,2888190,30893.895762711858,40572.2283898305
19000,1983,2870547,30529.65638406537,39179.901940755866
19000,1984,2858615,32761.89696376102,42257.87855044075
19000,1985,2829684,33068.723746452226,42500.83954588458
19000,1986,2791969,33302.762693357596,42748.86842584167
19000,1987,2767006,34743.21615798923,44917.11903052064
19000,1988,2768393,34463.22172413793,43695.955862068964
19000,1989,2770590,35882.44603960396,44394.46353135314
19000,1990,2781018,35784.148705882355,43664.45647058824
19000,1991,2797613,34440.16095025984,41726.31863400149
19000,1992,2818401,35718.28286334056,43883.37078814172
19000,1993,2836972,34532.895378151254,41920.50266106442
19000,1994,2850746,36579.77539302802,44728.27108680792
19000,1995,2867373,36781.67548172757,42960.68053156146
19000,1996,2880000,38829.69217840982,44834.24925662573
19000,1997,2891119,39289.00589711418,44947.648933500626
19000,1998,2902872,40356.74814814815,45474.03493827161
19000,1999,2917634,40573.610078931386,46097.30346083789
19000,2000,2929067,41984.487064382745,47269.42941523922
19000,2001,2931997,41586.59624145786,46938.39248291572
19000,2002,2934234,42017.10388294879,47993.12222847496
19000,2003,2941999,41650.74315443593,48593.24238773275
19000,2004,2953635,43984.11808910359,51672.308534621574
19000,2005,2964454,44002.10167014614,51044.00490605428
19000,2006,2982644,44663.00772704465,50593.92062217761
19000,2007,2999212,46614.74952933832,51749.49650260277
19000,2008,3016734,47009.27700849303,51586.1461819073
19000,2009,3032870,45351.783440993146,50439.448504952044
19000,2010,3050767,45345.38586036931,50983.808026189945
19000,2011,3066054,47919.61842242084,52848.25274541451
19000,2012,3076097,48739.613065194295,53381.15641541067
19000,2013,3093078,48564.7082385542,54177.26561319757
19000,2014,3109504,49279.509282241335,54065.66845737989
19000,2015,3121460,50964.211172027746,54996.23177293
19000,2016,3131785,50529.46646091487,54066.34410727125
19000,2017,3143637,50398.94451351362,53900.25767591099
19000,2018,3156145,52139.30647546781,54669.08848305575
19001,1980,9490,24923.03871794872,24458.489999999998
19001,1981,9396,27885.480504587154,29390.316972477063
19001,1982,9258,26271.32669491525,24623.54258474576
19001,1983,9210,23965.304392236972,18966.033503575072
19001,1984,9147,27446.073849167486,25075.880901077377
19001,1985,8935,28942.785241248817,28000.06338694418
19001,1986,8700,31414.01255686988,32214.729572338485
19001,1987,8550,31376.697486535006,32285.123159784558
19001,1988,8509,30110.13706896552,30226.15982758621
19001,1989,8431,33343.362046204624,34609.70082508251
19001,1990,8397,32881.304784313725,33514.65254901961
19001,1991,8430,30174.530660727545,30704.852264291017
19001,1992,8441,32433.907592190888,33509.98496023138
19001,1993,8483,28736.632352941175,27313.84733893557
19001,1994,8380,33082.25563909774,34736.368421052626
19001,1995,8366,29931.974086378737,26881.165581395348
19001,1996,8363,34931.49825468649,33671.695669036846
19001,1997,8310,34534.77151819322,32950.02672521957
19001,1998,8305,35635.67962962963,30577.50604938272
19001,1999,8298,36190.799028536734,30153.237158469943
19001,2000,8223,39489.54176018901,33414.22764323685
19001,2001,8132,38728.669248291575,35754.302733485194
19001,2002,8059,39791.57231288689,37857.340686550364
19001,2003,8050,38220.59857612268,37938.532968236585
19001,2004,8019,43139.445195920554,46536.197208803
19001,2005,7932,39164.76127348643,39977.96398747391
19001,2006,7924,39047.66562970396,38720.40702458604
19001,2007,7871,41000.369352674294,40939.30199521228
19001,2008,7747,45747.95432051052,44690.34622526794
19001,2009,7676,43345.29431471267,40507.144144611746
19001,2010,7679,41932.343485617595,38128.967115427055
19001,2011,7546,47902.066305885965,44027.72911608729
19001,2012,7468,47816.07543824228,40035.867311558
19001,2013,7387,50896.19853331549,44186.60068456787
19001,2014,7367,49925.217265648906,40324.298561762604
19001,2015,7141,52377.67860718134,39239.708281681975
19001,2016,6998,51919.187308421664,36787.88060228653
19001,2017,7053,50927.80528235617,35441.105298358336
19001,2018,7063,54079.291444280105,38135.00747540351
19003,1980,5713,25095.585384615384,25274.76846153846
19003,1981,5631,27941.8747706422,29874.120412844037
19003,1982,5556,27195.292161016943,26290.518855932198
19003,1983,5494,25194.633299284982,21033.421041879465
19003,1984,5423,25980.86366307542,22191.08991185113
19003,1985,5307,28134.73793755913,27304.65298013245
19003,1986,5199,30457.862238398542,31689.553412192898
19003,1987,5217,30958.496409335727,32919.394793536805
19003,1988,5095,27767.369827586208,28238.154482758622
19003,1989,4987,30889.697194719472,33486.43910891089
19003,1990,4845,30796.53505882353,33658.77976470588
19003,1991,4748,29790.239643652563,31809.68893838159
19003,1992,4687,31419.587707881416,33902.98712942877
19003,1993,4634,28058.770448179268,27464.281932773105
19003,1994,4616,32494.912918660284,34508.15393028024
19003,1995,4578,29072.106976744184,25833.847441860464
19003,1996,4534,36228.10782159017,35945.36328377505
19003,1997,4503,35312.530489335004,33761.88368883312
19003,1998,4493,36209.2375308642,32187.94160493827
19003,1999,4498,36695.23873709775,33522.45440194292
19003,2000,4476,41184.94270525694,39208.2489072652
19003,2001,4402,38461.890091116176,37635.022095671986
19003,2002,4370,39844.00630275746,41000.46707934722
19003,2003,4365,37021.465388828045,37426.846111719606
19003,2004,4307,43632.63413848631,50413.63478260869
19003,2005,4226,39861.79217118998,41312.589039665974
19003,2006,4224,36237.397290516805,33540.11108881083
19003,2007,4195,39233.23269611722,34543.76853767997
19003,2008,4151,45086.79678000132,42288.46578751402
19003,2009,4047,44637.36095841611,38807.18500658227
19003,2010,4023,44289.818012947835,39299.96910174354
19003,2011,3994,56165.6027705064,57558.07068227336
19003,2012,3909,55341.82793339243,55014.670692848544
19003,2013,3892,64351.14300389763,70811.61659019592
19003,2014,3877,70206.1680153684,80010.58923532012
19003,2015,3753,77651.4024886367,84284.33547606571
19003,2016,3692,70280.47950821395,72867.29740525676
19003,2017,3663,64169.50192231152,65779.4475559768
19003,2018,3645,68985.44940839817,71374.80354961095
19005,1980,15091,23920.94076923077,28062.060769230768
19005,1981,14988,25552.538761467888,30093.761238532108
19005,1982,14870,24464.521822033894,27302.219915254234
19005,1983,14889,22913.104596527064,23119.31460674157
19005,1984,14829,27889.69285014692,32247.29892262488
19005,1985,14640,27319.344749290445,30514.804541154208
19005,1986,14384,28366.577797998176,31724.87916287534
19005,1987,14160,30110.47755834829,35147.477199281864
19005,1988,14162,28336.3275862069,32618.013620689657
19005,1989,14066,30539.47871287129,35199.09290429043
19005,1990,13836,30967.051764705884,35903.91639215686
19005,1991,13996,28462.5141796585,32013.36317743133
19005,1992,14123,30098.351843817785,34015.27346348517
19005,1993,14231,28569.885574229687,31366.519047619044
19005,1994,14248,30258.764730006835,34768.21230348598
19005,1995,14484,29938.853023255815,32152.150963455148
19005,1996,14468,32453.719198448613,34916.44085326439
19005,1997,14487,32453.17026348808,34411.369259723964
19005,1998,14611,33646.6,34908.746913580246
19005,1999,14651,33393.59441408622,33891.748269581054
19005,2000,14674,34571.5031305375,34163.32274069698
19005,2001,14333,35082.196127562645,34528.002961275626
19005,2002,14289,35640.54811480023,34995.31873944851
19005,2003,14345,35236.93975903615,35917.29901423878
19005,2004,14324,37214.23156199678,40495.674610842725
19005,2005,14371,37522.14582463466,39603.78267223382
19005,2006,14378,37581.49513296537,37924.337481184135
19005,2007,14335,38824.84474309,37426.65670453261
19005,2008,14325,39069.28728307898,36919.91535249371
19005,2009,14263,38212.44355527455,35915.30049591145
19005,2010,14379,40733.97051791363,40388.85814389759
19005,2011,14219,44300.37199292905,43895.50317152454
19005,2012,14147,44091.253939133254,42226.003282976795
19005,2013,14064,45809.81841254494,44614.468812451705
19005,2014,14058,46166.47079324062,43716.74050525314
19005,2015,13858,48503.3224705747,45610.23467818544
19005,2016,13850,47026.3251859545,42422.94289546603
19005,2017,13804,46212.66107821777,41553.80125309272
19005,2018,13832,47584.24257282489,41809.01654234454
19007,1980,15488,26615.323333333334,35683.97794871795
19007,1981,15362,26027.437844036696,34738.86788990825
19007,1982,15157,25251.40042372881,32187.99576271186
19007,1983,14864,24710.832890704798,28721.353217568943
19007,1984,14640,25349.657198824683,29499.396082272284
19007,1985,14388,25353.096310312205,29532.904635761588
19007,1986,14150,26305.90900818926,31414.01255686988
19007,1987,14116,26646.378635547575,32431.493536804308
19007,1988,13960,26154.20724137931,31355.15051724138
19007,1989,13818,27270.061056105613,32179.526237623762
19007,1990,13744,27516.11843137255,32716.877960784313
19007,1991,13768,27009.89413511507,31763.574016332594
19007,1992,13865,27663.609833694863,33704.614605929135
19007,1993,13903,26809.982072829127,32473.93515406162
19007,1994,13726,28634.72672590567,33940.27136021873
19007,1995,13723,27868.293023255814,30552.798139534883
19007,1996,13752,29855.480930833874,32788.328118939884
19007,1997,13677,29869.84140526976,32401.211417816812
19007,1998,13761,30746.85740740741,33365.41283950617
19007,1999,13709,31063.114389799633,33373.16539162113
19007,2000,13696,32079.615357353807,34745.78239810986
19007,2001,13578,31446.040432801823,33519.8430523918
19007,2002,13420,32487.22622397299,35063.77422622398
19007,2003,13522,32178.15794085433,35989.58718510406
19007,2004,13462,33992.5268921095,38667.40236178207
19007,2005,13453,32919.85073068894,37192.54206680585
19007,2006,13319,33469.98424485699,37454.227897641744
19007,2007,13105,33883.47773512193,35276.576827224155
19007,2008,12950,35185.29169455258,34807.13885772997
19007,2009,12896,35888.4333256265,35959.26495637772
19007,2010,12856,35422.81008607371,36140.405815493265
19007,2011,12847,36645.30890151772,36816.14950245719
19007,2012,12707,36882.43502075999,35919.138701380776
19007,2013,12653,37103.875016725724,38032.22596782617
19007,2014,12671,36641.45302777872,35720.74164428275
19007,2015,12572,38686.22883359531,37929.88042445696
19007,2016,12505,38653.17545947264,38313.635205422426
19007,2017,12363,38930.736797186895,37850.71390177952
19007,2018,12437,40025.0625361713,38301.4405022185
19009,1980,8545,25941.727692307693,27939.28717948718
19009,1981,8467,29060.855733944954,33032.199311926604
19009,1982,8356,25522.832415254234,23910.690889830505
19009,1983,8243,23219.775893769147,17747.279468845758
19009,1984,8312,27874.483055827623,27947.997061704216
19009,1985,8095,30052.01381267739,33330.72696310312
19009,1986,7848,29862.034576888076,32365.452775250225
19009,1987,7605,32584.833931777375,37150.19569120287
19009,1988,7509,30244.00948275862,33289.606896551726
19009,1989,7404,33787.54158415842,37287.59092409241
19009,1990,7335,32767.626980392157,35288.838274509806
19009,1991,7251,32512.941499628807,34945.50363771344
19009,1992,7141,34000.30195227765,36962.78973246565
19009,1993,7038,30034.357282913163,30360.60098039215
19009,1994,6992,33949.11688311688,37848.22337662338
19009,1995,6954,33173.673089701,32052.40637873754
19009,1996,6920,38393.02753716872,39564.158758888174
19009,1997,6916,38365.11267252195,40290.837390213295
19009,1998,6893,36269.94839506173,31675.094567901237
19009,1999,6896,34718.337947783846,28866.208743169398
19009,2000,6804,38904.024571766095,34718.26461901949
19009,2001,6664,37823.68359908884,35387.29715261959
19009,2002,6572,39146.34293753517,36625.14192459201
19009,2003,6479,38345.33110624316,36311.340416210296
