"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: Manufacturing (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19081","Hancock, IA",202972,253682,245855,318281,297745,298158,284780,217293,108402,212991,249251,293864,270869,305141,266395,230082,222501,226281
"19083","Hardin, IA",105062,104387,92203,125522,135636,134414,151816,137289,94941,105477,93026,93836,85410,91052,84053,66230,67834,67885
"19085","Harrison, IA",29917,33985,32515,37834,35026,36332,30207,29407,20971,30015,29482,42215,48356,58276,52169,41677,44311,44909
"19087","Henry, IA",196497,202140,199050,242943,265386,260500,265769,239430,194148,200026,187796,197199,194826,193095,193501,188673,188377,205890
"19089","Howard, IA",66906,72212,73582,88868,95468,110699,93746,82361,34875,72000,95271,77845,80421,83351,75630,68046,66801,72470
"19091","Humboldt, IA",63520,67983,70077,91895,94400,94168,91932,90486,66087,78271,82006,105313,94008,108948,102872,87363,83501,87192
"19093","Ida, IA",79884,87736,80030,102884,111764,134197,126316,129626,99846,123544,121045,131501,124029,135397,126678,116389,125488,130062
"19095","Iowa, IA",318182,338001,428407,468608,454580,528704,484801,533804,397996,477058,292150,422479,390292,366314,318821,303973,312568,313234
"19097","Jackson, IA",49272,46575,43337,50100,55438,61324,64096,60984,48727,55230,60027,72355,73320,80283,87995,79098,84316,91724
"19099","Jasper, IA",529240,419150,490783,360856,335615,482100,385805,200002,149027,171945,146510,189641,170965,193357,169430,162710,172631,183715
"19101","Jefferson, IA",125210,149843,167916,149939,147172,119164,108544,104699,91099,92376,89782,98501,89968,92184,94272,85008,80116,90158
"19103","Johnson, IA",699563,712350,676899,651330,575682,680118,614054,782184,746492,886589,880812,796728,979816,966302,864187,695185,740505,773789
"19105","Jones, IA",68152,72389,78145,89450,90164,90549,93824,86276,67515,75267,75516,87308,75949,78768,69957,60704,63693,66673
"19107","Keokuk, IA",37802,39245,42953,30355,25394,23318,23669,20282,13410,13596,13691,13925,13400,14545,12961,10791,11317,11674
"19109","Kossuth, IA",86022,90939,107285,127854,129583,123575,112573,103632,87436,99204,115395,144378,181386,242113,270559,230811,253728,255770
"19111","Lee, IA",724949,714736,747629,727010,661224,586941,541569,615652,610065,697509,675218,642693,694148,694750,658733,554366,575039,593131
"19113","Linn, IA",1440790,1277437,1618535,1861231,1921646,2185497,2588290,2838066,2832035,3137263,3172737,3017936,3130768,3254945,3267808,3058098,3204229,3468427
"19115","Louisa, IA",145001,120189,113440,82269,79983,82766,151359,195941,224847,186504,158603,132299,119151,98286,88987,86064,94568,101334
"19117","Lucas, IA",15124,15159,15035,14619,13490,14392,15290,15184,11735,12721,13788,12405,11958,11754,12342,12126,11236,15127
"19119","Lyon, IA",95925,104178,104661,119167,114284,132823,86357,105717,67841,87045,90376,88761,63671,68529,64711,56517,57840,58494
"19121","Madison, IA",27839,30603,32184,27268,24308,31595,32046,26281,16452,20756,23723,21832,21066,21616,20295,18379,18063,16005
"19123","Mahaska, IA",120980,120256,136185,154632,163724,203751,188516,172931,127690,134222,139156,166889,170423,155536,159440,145743,161857,180295
"19125","Marion, IA",584401,538758,549826,630159,705770,720533,733320,662846,537273,596765,612723,741531,647358,664669,662430,598960,629299,669930
"19127","Marshall, IA",591591,579544,527203,575137,546317,572840,683735,947533,1101934,963543,500093,559498,505570,495034,495134,445834,456564,469816
"19129","Mills, IA",20913,23791,23273,20542,19677,32652,32037,31447,30031,30817,31340,38005,38537,40349,48959,61320,75158,79814
"19131","Mitchell, IA",69749,73496,72003,79202,74361,84028,85894,107462,92641,100322,109950,96670,137735,201264,193362,194801,169001,179825
"19133","Monona, IA",8431,9685,8037,11690,11833,12369,11052,10448,7857,8517,7453,12210,9637,13621,9849,7818,7429,"(D)"
"19135","Monroe, IA",145399,137456,151375,168564,169322,187502,191233,214365,219388,212737,190765,163927,161647,154238,171633,161831,159224,177431
"19137","Montgomery, IA",52895,56730,57267,69868,79040,83669,65675,57683,46080,54715,61912,62137,67707,65906,67066,60978,62460,62882
"19139","Muscatine, IA",1185469,1252570,1216661,1250464,1296741,1369637,1291218,1188746,1004956,1042715,1017000,984926,1031870,1061647,1025766,944166,975116,981238
"19141","O'Brien, IA",52298,48536,46585,46912,43814,47691,52613,55153,49661,54138,67030,69390,84475,87133,91884,83421,82905,90394
"19143","Osceola, IA",63157,57737,63731,74335,69667,164599,141275,106484,53819,50290,57837,52038,72871,81017,76209,70614,53211,53071
"19145","Page, IA",106820,98180,105479,114471,113242,126523,123471,130159,99107,110823,110391,94535,101523,97512,88117,75271,78506,81838
"19147","Palo Alto, IA",32273,30417,40093,56296,67241,180796,173430,142394,69035,64058,63636,66650,77253,92526,90610,89958,81144,85655
"19149","Plymouth, IA",278636,293621,342363,384848,371759,400560,366664,307496,283527,267642,269945,249007,264185,239016,268384,270779,272079,311689
"19151","Pocahontas, IA",45892,44311,46360,53024,56629,56166,50076,44489,29382,36434,36654,58302,47658,71467,56023,39804,41252,44826
"19153","Polk, IA",1811225,1885578,1853394,2078123,1982805,1959764,1932947,2020250,1866044,2159467,2270738,3019160,2538646,3177216,2929734,2332626,2426504,2597542
"19155","Pottawattamie, IA",371221,405164,457022,495417,494756,485238,549360,523946,525087,401330,473957,484111,607462,626415,832202,815828,824220,912802
"19157","Poweshiek, IA",99366,102526,99268,110371,108086,124069,129020,121420,86698,122496,138645,140866,130562,126036,118052,106505,109219,108676
"19159","Ringgold, IA",5973,6036,5193,4917,5737,"(D)",3894,1885,2009,2715,3186,"(D)","(D)",2618,"(D)","(D)","(D)","(D)"
"19161","Sac, IA",20802,22466,26731,38703,40509,48347,46915,47179,41440,45198,49630,57107,67201,66042,66473,54977,68283,72782
"19163","Scott, IA",1422495,1671214,1618854,1759346,1689472,1629631,1606171,1567749,1390799,1422987,1491340,1686089,1598256,1752834,1820468,1619604,1608139,1689335
"19165","Shelby, IA",20540,21714,27651,36101,43608,39592,50606,58475,52290,54640,50997,59021,165882,161540,312376,264325,314971,339097
"19167","Sioux, IA",360816,433128,498261,543043,534107,621923,638755,603814,505479,521020,499310,501177,470248,496510,503146,444499,445287,485592
"19169","Story, IA",344359,364023,402975,447756,461113,552911,582960,736105,473222,523638,662014,769520,987582,1088262,1002822,799649,867652,890639
"19171","Tama, IA",51904,46150,59753,71441,53825,50918,42844,35198,39947,41093,39921,34480,32858,35582,55011,67865,74777,81240
"19173","Taylor, IA",35364,27535,34451,42491,42713,45566,47260,51057,49226,51077,43955,47118,42827,43272,38386,31937,37403,40955
"19175","Union, IA",89429,106096,113621,137686,141198,134684,120398,122093,123524,136422,142243,150152,150457,146436,147178,132667,126305,121397
"19177","Van Buren, IA",42660,53778,52040,70253,70010,67420,64276,68466,54841,66599,64320,94644,63230,78943,67471,56723,57204,61937
"19179","Wapello, IA",373446,377197,372105,385932,371610,450961,538279,604624,550640,507524,398026,499551,450003,473669,511376,430938,447230,482213
"19181","Warren, IA",46152,53304,54982,68306,59788,"(D)",54423,48542,40892,46323,44121,59769,49892,54386,61496,57721,66692,70595
"19183","Washington, IA",84111,86558,94893,92412,96003,91705,79390,96756,85294,105300,114943,162303,114560,114614,108568,92363,105329,109500
"19185","Wayne, IA",24448,24476,27274,35151,35261,42425,43262,46589,40161,37716,36111,46674,42744,42913,38669,34380,35809,37215
"19187","Webster, IA",839882,809827,823117,791932,666109,713582,499290,552500,552550,837010,1017334,823255,826506,646855,691906,621267,639982,644514
"19189","Winnebago, IA",52145,53270,55607,68580,70746,78586,82581,75334,42605,59518,60817,62040,57851,59621,52424,45899,47269,47442
"19191","Winneshiek, IA",140569,142789,128734,131341,125474,127777,129901,129318,109005,114236,123318,118658,128913,130326,137599,134938,143766,151541
"19193","Woodbury, IA",965457,951610,1082853,1425338,1605918,1678838,1775732,1951190,1292178,1147320,971218,772205,850776,835303,850620,712722,773977,859450
"19195","Worth, IA",26376,24640,37028,57104,52436,180816,176695,125459,55268,51688,58394,48905,157629,252287,215819,145431,118691,142455
"19197","Wright, IA",82560,86806,86368,105692,116433,115647,113873,120048,98127,121719,140669,163587,151763,273474,248827,206791,181073,202650
"26001","Alcona, MI",12198,12063,12402,13610,13582,12969,13624,12293,9845,13654,15615,15263,17549,16089,15956,14603,15467,15517
"26003","Alger, MI",54271,62971,62045,67265,62118,60085,54217,38404,"(D)",32007,31824,44891,62181,65088,62448,62043,60326,61809
"26005","Allegan, MI",1499825,1476489,1412110,1548453,1521444,1559434,1587871,1581271,1300353,1315314,1481507,1543752,1543317,1480830,1643370,1653042,1709192,1811715
"26007","Alpena, MI",135660,124985,128642,140855,158500,141253,125340,128627,134366,192299,242376,168910,182245,177708,183735,162637,176420,177655
"26009","Antrim, MI",71691,78576,90223,92909,91977,86026,93759,85001,64475,66708,69645,64006,67801,67796,70668,67328,74713,76756
"26011","Arenac, MI",31756,31689,31979,34247,35113,32435,38526,37153,21898,26998,36321,39046,43192,43295,45600,47546,55335,58369
"26013","Baraga, MI",32356,32607,34785,39411,46084,48877,48580,51307,36809,43091,50469,52910,61718,56813,53332,43088,46120,49480
"26015","Barry, MI",231921,242932,279915,280973,280015,254538,284960,291678,254202,304821,348209,360334,392965,369407,396875,354295,371180,393535
"26017","Bay, MI",541027,576830,588836,568362,547322,542165,516313,493199,411165,516974,504303,502761,498928,494424,521396,536222,571395,601649
"26019","Benzie, MI",94851,28755,52976,56894,58444,56536,47757,48812,44173,43580,36610,27324,27784,29064,27266,25643,27668,28980
"26021","Berrien, MI",1391717,1534288,1584942,1583494,1517956,1623376,1844729,1621865,1225420,1346439,1318537,1270278,1426985,1425690,1494163,1470238,1523168,1500292
"26023","Branch, MI",244687,254124,253359,241403,246444,238329,226137,221409,218946,251939,250370,257263,219372,222418,219012,213822,231384,264337
"26025","Calhoun, MI",1526323,1749392,1838819,1888500,2008564,1998703,2201901,1855282,1338075,1490269,1432821,1378382,1400119,1250754,1235036,1240155,1272493,1308074
"26027","Cass, MI",201952,209890,216462,235404,237522,208838,213932,194073,144145,173550,169373,160466,143342,144476,164793,177378,198927,193703
"26029","Charlevoix, MI",192059,198801,205989,222022,219390,213547,218636,216871,209257,225346,239715,272840,282993,287035,291227,309447,281904,285309
"26031","Cheboygan, MI",41801,40728,40905,41795,41449,39812,25652,24212,22205,21344,19709,20027,19214,19904,23524,24747,24192,26725
"26033","Chippewa, MI",44298,45689,45660,60190,70558,65807,42438,41294,41779,39416,43823,45854,42227,42865,43260,49705,55079,58144
"26035","Clare, MI",63157,62536,62801,69554,76581,74184,82628,79455,85150,106962,163727,210806,188279,196763,167534,195168,222488,246400
"26037","Clinton, MI",213192,246190,256104,254475,295149,274671,256141,236239,186047,234865,256466,250174,286947,279936,264921,255574,242779,220611
"26039","Crawford, MI",45075,44576,37019,39483,45442,39072,44642,32635,32361,36629,41617,39743,37132,30685,34231,38501,46283,51985
"26041","Delta, MI",266861,288410,293574,311773,284046,272782,250670,234077,231151,245623,239129,254424,252831,223028,207870,201593,197943,209092
"26043","Dickinson, MI",210506,214891,199202,197396,219356,210228,222354,199306,196742,214789,226399,246700,263465,246379,235018,242938,272655,281518
"26045","Eaton, MI",272640,464287,532145,569911,733581,790801,923103,756992,442765,704144,708876,743336,823036,806063,807963,805262,793770,814803
"26047","Emmet, MI",115387,117600,117763,101648,102840,97116,101609,98516,84690,107664,116560,126804,128704,122977,125956,134738,164021,153200
"26049","Genesee, MI",2950154,3338816,3675876,3544120,3764338,3606642,3644692,2172034,1155537,1475470,1547545,1465492,1504397,1475468,1419209,1405994,1339315,1406957
"26051","Gladwin, MI",54699,53609,59052,53194,52199,52565,52234,49189,38934,43999,46682,44845,49010,46227,48919,53757,65342,70892
