"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: Retail trade (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19083","Hardin, IA",39638,41233,41701,40453,37790,37944,37203,38521,38458,39301,38940,38441,38135,37962,38308,41439,43316,42596
"19085","Harrison, IA",28596,27797,28045,26517,23577,21412,21720,22160,23710,25495,27568,29770,28984,29356,32510,35142,32814,32767
"19087","Henry, IA",39224,40154,41592,43859,42150,41379,40791,41357,41218,41054,40568,43335,42835,42053,43542,45253,47360,47796
"19089","Howard, IA",17976,18703,20558,20233,20141,19973,19714,19033,20159,22299,22587,23130,21719,21939,22993,24782,25013,26276
"19091","Humboldt, IA",18874,19245,15832,15463,15796,15548,16794,17378,19224,19653,18783,18778,19524,18750,20129,20870,21210,20742
"19093","Ida, IA",15438,16065,16511,15840,15397,17012,15050,14934,13091,13869,12998,13075,12662,14658,13216,13053,14885,15184
"19095","Iowa, IA",48841,60973,57792,53397,48182,45869,39970,40901,40602,42122,44467,48049,49771,48722,48148,48477,50246,52584
"19097","Jackson, IA",42286,44652,45457,45929,43689,40305,38678,41688,42448,43828,41226,42200,41404,41387,43269,46414,47503,48558
"19099","Jasper, IA",105252,110012,105545,86686,83983,78886,58938,62827,63829,65282,62837,65879,64764,64659,67184,71368,73468,74717
"19101","Jefferson, IA",92055,96358,99363,95800,93325,83941,73478,64753,53355,47509,48191,47014,45637,43383,43679,46085,46794,48177
"19103","Johnson, IA",357031,362661,382999,388746,394928,386085,380022,370239,368719,363751,371944,384567,395466,401080,425822,450233,463476,477052
"19105","Jones, IA",39786,42921,46685,46871,48810,49963,46428,45910,44205,42175,42011,48111,53871,59545,62488,60583,59296,59948
"19107","Keokuk, IA",20362,21176,16647,15217,14572,12398,11940,11630,12304,12519,13195,14313,15508,13416,11258,8618,9087,9176
"19109","Kossuth, IA",42672,43297,42489,41519,39945,39278,36627,37209,36708,37308,36714,37841,38241,37220,36672,36532,36108,36907
"19111","Lee, IA",89594,89783,94362,95458,95324,88957,86075,88667,87827,84666,84636,85975,84935,81913,84739,87665,87062,86947
"19113","Linn, IA",632310,648268,684644,706351,717356,728308,719010,742112,745509,749566,772874,808576,743481,733420,763140,814301,836847,835635
"19115","Louisa, IA",10962,11368,10821,10027,9391,9660,9628,9813,10329,10941,9388,8496,8431,9382,10062,9953,8360,8408
"19117","Lucas, IA",19622,20341,20027,20667,19530,17637,16930,17642,17713,17113,16059,15949,16273,15691,16376,16969,17752,18342
"19119","Lyon, IA",16346,16760,15824,15549,15281,15812,14849,14643,14622,15495,16064,16674,17256,17216,17610,17876,17788,18293
"19121","Madison, IA",17660,17606,18141,19473,19422,20829,20606,21385,21224,21867,22211,21772,21024,21698,24912,24620,24685,26425
"19123","Mahaska, IA",42695,43882,43124,47076,48161,49430,48498,47881,46989,46150,44983,43234,42669,43167,43571,46271,46551,47794
"19125","Marion, IA",62176,63302,68312,66346,64651,63888,64648,70072,68845,67047,65641,63508,64261,62768,63935,70184,71430,73454
"19127","Marshall, IA",100376,102873,102158,100664,100206,97518,89669,86977,86914,88726,87364,87659,84683,85379,87789,92808,93004,93324
"19129","Mills, IA",23765,26089,22767,20993,16496,15451,12055,12335,13070,13123,28727,50225,48188,38301,23735,26515,35891,37337
"19131","Mitchell, IA",16710,17632,17591,16728,15316,14589,14001,15856,18431,23271,20305,19371,19545,18324,15795,13917,12949,13122
"19133","Monona, IA",17146,16939,17923,18111,19545,18715,16759,17417,16929,15584,15512,16058,16785,16440,17760,19004,19371,19689
"19135","Monroe, IA",16605,16269,16959,16127,14520,13515,12659,12747,13931,15025,15347,15243,14549,13406,12856,13221,12589,12476
"19137","Montgomery, IA",40101,38478,40348,40493,40973,38138,36373,35113,32750,27712,22541,21305,21098,20033,20433,21435,22217,22523
"19139","Muscatine, IA",91039,97060,99074,99771,92808,96701,101551,104480,104492,101491,95723,99005,95006,91350,95678,99911,101620,101763
