cty_fips,cal_yr,cty_pop,real_inc_pc,real_earn_pj,real_inflow_pc,real_outflow_pc
19095,1994,14927,39774.77826384142,44664.583321941216,5.9621206527039465,12.323643893560646
19095,1995,15136,37510.84279069767,41679.47853820598,6.166887831611331,11.927133963251459
19095,1996,15332,41148.53199741435,44178.41577246283,6.363178313529751,12.309186687378396
19095,1997,15423,43923.08544542032,47690.101756587195,6.696148649896425,13.20290085584021
19095,1998,15463,44986.75037037037,46362.33074074074,7.382189974794471,13.79863753619752
19095,1999,15570,47261.7577413479,49094.08391013965,7.930792585651341,15.30213617409907
19095,2000,15729,46391.91801535735,45587.78735971647,8.473184512473281,13.951528189152679
19095,2001,15868,45041.46002277904,46497.691002277905,8.769106137881257,13.452427623279299
19095,2002,15911,46488.55801913337,48315.008666291506,9.066896117815167,13.673393436697879
19095,2003,16062,45620.92289156627,49219.73986856517,9.27929486820171,13.464119895208913
19095,2004,16108,47642.051851851844,50695.65550187868,9.843355591837756,13.582157527403925
19095,2005,16297,45593.3853862213,47531.83371607516,10.117462100623564,13.241698191567464
19095,2006,16391,45966.847566482684,47240.81856497742,10.52702081591592,12.863013543558882
19095,2007,16308,47506.587395606504,46177.100134193875,11.28895458887558,12.023525348960527
19095,2008,16337,49680.743823465644,48876.864083252425,11.55827688362107,12.502227220598366
19095,2009,16406,47750.28900643128,45602.13661864835,11.658677934816561,10.69075651134847
19095,2010,16335,46901.96167144854,46271.239056867504,11.727912393284944,11.003104648314748
19095,2011,16320,50834.439908312874,47340.398576769876,12.48638067939496,10.70700618574275
19095,2012,16177,54111.58039343053,50111.85593525337,12.892547496243251,12.321160464778483
19095,2013,16279,54409.63263826242,50043.81372502471,12.727567342438846,12.86673918925882
19095,2014,16314,53977.667369351606,48166.29551868349,13.135230441147778,13.256600091793633
19095,2015,16278,54271.85727613132,48683.037908897655,12.974284853447319,13.78599044609951
19095,2016,16185,53547.239295790634,47003.47151500881,12.796603358069799,14.41882165318625
19095,2017,16118,54905.94271224411,48227.21705913005,12.924295605877676,14.521664169326007
19095,2018,16141,57423.55507684393,48503.78504597775,13.41847589651786,14.366977107975915
19097,1990,19909,30896.003137254902,32300.736,5.606786557266937,1.1583898975633249
19097,1991,19912,28675.795694135115,27584.40920564217,5.76513723486533,1.1985934921374912
19097,1992,20106,30176.952277657267,29121.46073752711,6.220165494534786,1.2829958127204197
19097,1993,20165,30028.919887955177,27049.22745098039,6.346278961869895,1.3498437470698668
19097,1994,20262,30877.951332877645,30007.551879699247,6.723505441666999,1.4231766186942845
19097,1995,20196,30415.219401993356,26877.72611295681,6.993551764139999,1.3809135390120342
19097,1996,20199,32597.60103425986,28972.11338073691,7.198340871611243,1.416691661983945
19097,1997,20155,33534.56373902133,29592.186323713926,7.5065450911023,1.4653303211279458
19097,1998,20225,33755.240493827165,29361.69111111111,7.993248229028369,1.5735611408689283
19097,1999,20217,34088.18117789921,30113.950576806314,8.273948034199309,1.6566551219210848
19097,2000,20297,34924.64796219728,30764.877023036028,8.575834440367977,1.7331833786288964
19097,2001,20267,34585.48576309795,29889.583029612757,8.58831587487003,1.983065865681759
19097,2002,20142,35207.96769836804,30617.08058525605,8.916450913762707,2.3901867589858767
19097,2003,20148,34763.523110624315,31537.486308871852,9.19547000607335,2.640241674913417
19097,2004,20146,37323.98346752549,33871.66086956522,9.927456353376124,2.1174114151876484
19097,2005,20124,36952.09342379958,32403.83173277662,10.388689628478797,2.23273087857372
19097,2006,20092,37513.96557952834,31241.508981435018,10.706972077964693,2.1844025061236123
19097,2007,20015,39263.76637484823,31374.627132724134,11.366161271976017,2.3423392065068516
19097,2008,19919,39984.17317861755,31698.96650862028,11.598322523289273,2.5652998161363554
19097,2009,19841,39284.68789664659,31324.6780822241,10.991607525223841,2.5151618534482143
19097,2010,19828,40517.38275215184,33581.814077098505,11.243586516223736,2.3271492055988126
19097,2011,19730,43547.971264133965,35215.39647447634,11.615711383471792,2.271248031152821
19097,2012,19682,43461.930636142584,34324.24715372933,12.268881333228885,2.1846012557699743
19097,2013,19514,43826.87865538093,38042.28031025686,11.146817443529793,2.11676694438631
19097,2014,19427,43495.63777158206,34632.82819353303,11.472088099019045,2.3232386895819523
19097,2015,19362,46167.02177237621,37000.43186920386,11.710294920023447,2.5095766872215037
19097,2016,19387,45508.18847313383,36233.951149364875,11.701414981033608,2.5547149130595113
19097,2017,19368,44924.49217740248,35629.07388487467,11.91299612577888,2.507811604177112
19097,2018,19432,46983.00326345572,36864.915439521574,12.185328708116103,2.5776049516247936
19099,1990,34829,37162.49207843137,45558.40988235294,5.94108422832224,2.5361541694745027
19099,1991,34791,35329.79465478842,43624.716258351895,5.896637537159268,2.5191380187176464
19099,1992,34925,36255.38582791034,45344.964569775846,6.204657214535227,2.577468362895182
19099,1993,35136,34918.95042016806,43919.65154061624,6.328203753609822,2.7019325905453253
19099,1994,35342,37384.71797676008,47886.12276144907,6.611691734932012,2.996745624717413
19099,1995,35406,37364.6653820598,44713.08970099668,6.80219338539576,3.105974252538611
19099,1996,35715,39077.30277957337,46793.384486102135,6.961111604917223,3.348665642071774
19099,1997,36087,39375.06273525721,46836.02823086574,7.204192868071963,3.53755192691133
19099,1998,36898,40056.38913580247,47129.20481481482,7.624385028062012,3.845879300895562
19099,1999,37096,40364.605464480876,47731.62525804493,8.058281982297297,4.1402566949482
19099,2000,37252,40853.20059066745,47344.338924985226,8.322932313492771,4.286592486200053
19099,2001,37377,41876.958086560364,51441.21195899772,8.48391094239371,4.620579320977666
19099,2002,37552,42253.05683736635,51683.89251547552,8.718247689971202,4.700655807926833
19099,2003,37703,40716.66659364732,51277.826615553124,9.005320973089988,4.692473735243047
19099,2004,37645,41393.139559849704,53513.08416532474,9.662963777134568,5.0659352867605785
19099,2005,37482,39996.87567849687,51142.61586638831,10.249616988040133,4.52419108005524
19099,2006,37288,40426.826894129445,52618.508580030095,10.777557581119844,5.2286770888627245
19099,2007,37167,42504.153030176414,50357.66964711434,11.388343878584921,3.5302709040333835
