"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"19079","Hamilton, IA",650933,636857,739326,849838,845455,1091313,1028826,891570,725774,736141,749933,701992,758915,813720,765608,655830,680309,807344
"19081","Hancock, IA",472206,559391,566923,667956,649490,677408,668261,628632,489309,652964,727011,770776,774636,831132,798787,664429,752094,755413
"19083","Hardin, IA",778715,794055,740849,847040,849704,908279,928259,879714,821195,898717,897466,910077,898503,964155,907548,940470,1006092,1002720
"19085","Harrison, IA",327989,364253,360913,393152,366548,375608,392858,414207,459516,412323,444960,455474,523961,463659,479292,516804,446383,451315
"19087","Henry, IA",746856,767662,753028,830296,843749,847581,862384,845310,771784,761766,775359,811984,798593,771273,750872,744410,751270,798306
"19089","Howard, IA",280266,319843,304664,347778,371399,381471,390805,364862,300157,428375,455296,465372,434270,439749,454760,417916,391889,417568
"19091","Humboldt, IA",333173,369315,352412,390163,382572,382625,384538,390293,402147,380314,451630,474885,460572,465728,475114,470312,443321,443824
"19093","Ida, IA",308983,343920,340412,374818,373145,383993,408411,444816,394633,426262,409405,413855,422879,421253,385707,378111,428877,429048
"19095","Iowa, IA",736629,832588,899475,931771,884543,978245,917256,967568,831583,912063,756015,897326,867654,816703,775203,738351,771035,802948
"19097","Jackson, IA",410001,427363,469053,495658,488210,492171,475725,484313,461516,494747,523386,530257,579127,551894,600793,605127,559811,593898
"19099","Jasper, IA",1339697,1274778,1322805,1225650,1201165,1363081,1302200,1110952,1087977,1040444,1050134,1087957,1045986,1076227,988209,982323,976723,1058798
"19101","Jefferson, IA",639678,642426,668828,660339,650014,616671,605956,610822,592310,571715,576309,621566,626990,611834,598408,612099,606822,677208
"19103","Johnson, IA",5862388,6097053,6205914,6422944,6494718,6663551,6733910,7023119,7054970,7234277,7420719,7419768,7826999,8005278,8024479,8049250,8281109,8385942
"19105","Jones, IA",483259,511350,520585,540269,530242,560397,569939,539751,517498,527580,572225,583676,621276,573858,568792,541093,548837,556983
"19107","Keokuk, IA",243017,265862,271861,291448,261308,275961,277469,281094,307500,279272,321408,345541,357926,352188,330752,363479,297889,336881
"19109","Kossuth, IA",545333,600818,645288,719803,758227,792127,832018,799118,819268,848366,895340,973117,965548,1041811,1083142,1037829,1078023,1066212
"19111","Lee, IA",1610842,1617620,1667691,1666682,1586013,1526646,1506333,1591076,1574517,1621323,1616822,1614243,1637254,1702342,1751118,1641194,1551096,1580685
"19113","Linn, IA",9544335,9385381,10165548,11122451,11749169,11628676,12721373,12697710,13251504,14166331,14550095,14512768,14130211,14970560,15568897,15733507,15560368,15957005
"19115","Louisa, IA",534626,534669,504524,507893,451889,499121,540164,621207,653045,616087,551192,599905,562450,540561,484209,476180,486571,551334
"19117","Lucas, IA",218681,228406,235382,254613,263552,267422,256741,258964,244973,249114,259789,267697,282762,276298,286828,291041,289019,309877
"19119","Lyon, IA",404423,406867,428517,498064,510867,590327,498248,564886,489665,603110,664673,738451,800982,969939,1017412,1213612,1260985,1126386
"19121","Madison, IA",283042,298748,306122,333195,333901,354270,370920,357800,358610,344345,360708,347996,355901,351594,374195,365884,370091,393017
"19123","Mahaska, IA",585210,590108,621421,705813,706762,769225,765581,780806,728888,702729,767897,815842,813799,797680,770666,778726,784005,872648
"19125","Marion, IA",1282716,1256934,1282025,1384020,1474428,1506725,1550212,1487509,1369711,1366043,1399981,1539285,1458396,1473519,1486371,1463150,1481091,1546001
"19127","Marshall, IA",1635173,1613276,1577571,1669325,1649759,1695319,1803566,2060783,2195745,2061850,1627762,1729308,1654343,1618581,1594637,1583533,1571406,1691952
"19129","Mills, IA",331039,345957,352465,369951,360253,381388,374768,403830,463112,416442,417788,461455,492271,463848,455279,465649,496136,508666
"19131","Mitchell, IA",336445,368819,341749,381068,385746,424559,428793,477609,456541,532150,536376,524305,550884,629348,642065,623222,604233,652501
"19133","Monona, IA",262784,292217,299887,311133,285589,268030,301586,328515,404990,324821,318889,296497,376318,339070,343507,399113,404898,366224
"19135","Monroe, IA",287989,283354,307178,342782,338922,362621,374966,400309,420029,411777,394084,368714,375631,378494,393897,382638,388700,424160
"19137","Montgomery, IA",367293,390503,374564,414068,417126,437585,410964,406896,434063,397405,396639,399975,412960,383701,398223,373573,388312,385816
"19139","Muscatine, IA",2299062,2375106,2359031,2414408,2448765,2544992,2521792,2446941,2230420,2251071,2264939,2279375,2329246,2360627,2306755,2284845,2265143,2298640
"19141","O'Brien, IA",504127,518607,561073,579572,589673,611388,600318,635783,613389,671940,713693,737753,794970,911623,936080,1148411,1164151,1116366
"19143","Osceola, IA",278710,288014,289371,335253,337268,490175,468309,424634,307274,362532,380891,384493,424919,481385,471602,456467,507733,495070
"19145","Page, IA",470542,459596,482769,530446,529934,557696,539245,544489,584048,557045,539111,572359,590692,565271,506121,506133,501767,531794
"19147","Palo Alto, IA",323737,329464,360389,407590,429902,580355,597292,551594,466056,462735,508450,536811,530580,574331,580810,487974,555354,528894
"19149","Plymouth, IA",923310,967425,1038746,1142108,1134354,1184047,1194188,1209847,1205918,1248117,1214770,1225153,1393150,1403824,1415752,1613598,1567910,1556493
"19151","Pocahontas, IA",266504,314065,313976,339267,333052,364892,351401,434276,444992,395285,442833,500870,524327,560547,654342,679430,501363,538662
"19153","Polk, IA",24858202,25229867,27477514,29793150,31968056,30489136,33537816,29692537,28774609,29387631,28934493,30983374,29205310,33241634,35696734,36688552,36211368,36757721
"19155","Pottawattamie, IA",3046537,3156768,3287254,3469200,3537512,3708030,3862158,4100864,4188211,3900072,3861496,4034173,4208410,4280634,4553463,4611782,4445608,4637631
"19157","Poweshiek, IA",761137,793059,816786,892786,908215,927848,985064,920274,900179,905831,973761,1018413,969656,1080814,1107148,1088574,1093660,1129491
"19159","Ringgold, IA",106359,104905,105595,133350,130122,132507,119652,123106,141812,142001,152834,153786,175481,186385,167354,157843,189495,185894
"19161","Sac, IA",332069,355911,331038,409399,407258,413323,444131,473362,466861,509154,502445,493041,526795,551865,564822,539118,518523,589102
