Annual taxable retail sales in nominal dollars by county (see previous page for cities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa Department of Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Sales and Use Tax Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latest publication date:  December, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS,Area Name,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
19019,Buchanan,"42,704,657","50,110,096","54,918,389","62,115,479","69,317,040","66,150,296","68,935,806","74,118,023","69,328,798","69,688,394","66,260,217","69,343,067","73,082,394","75,216,642","80,349,507","81,354,045","85,766,820","89,907,181","93,452,622","95,643,186","93,290,162","90,581,859","94,439,208","101,304,517","106,925,379","107,759,878","110,553,677","109,577,054","112,358,763","117,921,094","127,168,435","131,292,720","142,598,876","153,838,295","152,962,488","153,364,056","157,441,735","159,681,961","164,079,436"
19021,Buena Vista,"68,425,702","75,181,424","83,839,891","95,727,223","108,572,334","104,184,847","104,861,803","110,996,954","115,432,438","111,444,023","105,173,459","117,979,127","114,219,869","114,465,692","116,102,258","124,169,159","124,269,513","127,262,722","130,525,373","132,698,359","137,126,540","142,426,533","146,498,718","156,245,513","146,438,932","155,158,871","153,655,124","152,993,288","161,790,376","157,711,741","161,516,325","172,409,926","173,032,529","190,694,338","176,948,064","183,179,400","193,761,937","188,649,687","192,107,544"
19023,Butler,"39,069,611","45,137,662","43,632,138","49,332,543","52,050,483","50,217,403","52,950,441","54,064,136","50,742,397","47,866,429","47,909,108","47,055,684","47,042,495","46,377,311","45,199,198","46,571,693","47,556,750","49,653,321","50,029,152","51,599,683","48,284,385","50,246,987","51,754,280","56,912,737","59,749,992","58,590,814","56,371,766","56,375,574","53,915,850","52,766,822","51,306,330","47,877,919","48,240,476","57,063,583","51,753,706","52,531,091","55,362,879","55,999,362","59,628,005"
19025,Calhoun,"34,183,855","36,593,551","38,498,597","45,289,503","50,962,282","48,421,751","47,381,301","48,078,867","45,213,540","41,823,888","41,070,589","49,260,407","62,696,498","53,971,798","40,564,776","37,379,202","36,550,724","39,194,891","40,638,465","38,511,100","39,759,549","43,039,655","42,568,470","42,580,510","40,247,699","39,350,850","38,538,583","36,561,188","35,458,309","37,041,724","36,465,821","37,806,579","39,598,894","40,735,825","42,737,620","45,441,263","47,885,571","47,491,024","48,486,367"
19027,Carroll,"74,773,970","83,143,225","89,757,729","106,168,284","117,778,917","112,462,181","115,488,340","124,305,364","124,464,734","117,965,101","115,493,317","127,041,463","131,613,527","135,274,480","139,350,059","144,045,172","149,277,000","158,987,061","171,105,269","172,486,572","179,338,619","191,005,567","200,538,615","205,609,316","208,106,046","210,559,097","211,866,155","211,860,495","218,230,954","224,154,947","226,432,058","240,974,841","253,009,004","260,053,807","264,483,760","269,747,733","284,745,265","283,551,571","286,159,446"
19029,Cass,"53,675,141","61,775,083","65,890,206","76,444,855","82,205,274","82,825,942","80,992,686","85,780,409","84,805,444","84,694,873","78,246,164","79,283,482","79,535,904","80,436,475","81,731,099","84,398,114","86,620,387","86,471,377","88,527,086","90,185,322","92,312,350","98,185,780","97,229,963","101,557,034","107,080,373","106,104,405","102,959,885","102,630,719","102,090,117","101,462,663","115,823,666","118,832,972","129,243,659","131,478,328","127,419,669","131,896,830","139,278,830","136,968,924","142,965,800"
19031,Cedar,"41,601,642","47,682,592","53,237,056","58,045,079","62,210,140","60,778,533","61,160,928","64,621,453","55,789,618","54,596,046","53,156,840","57,949,670","53,705,708","54,167,985","54,364,602","56,404,523","58,140,816","62,247,318","63,230,538","64,430,815","66,549,481","70,495,490","73,868,567","74,310,777","76,718,136","77,753,494","78,751,335","81,346,010","78,561,075","81,538,847","81,392,602","85,015,546","86,469,528","89,754,779","87,826,508","89,130,779","94,949,600","93,749,751","96,973,078"
19033,Cerro Gordo,"171,954,620","194,140,599","209,957,294","231,515,394","244,266,754","249,493,290","258,849,739","276,894,835","285,587,453","295,742,520","302,823,539","325,798,253","333,730,273","356,825,710","374,305,144","391,767,477","398,216,880","413,013,885","435,720,398","465,056,325","494,774,387","524,140,205","535,553,858","554,401,199","570,988,953","567,045,950","555,696,126","550,127,314","563,623,436","568,273,139","600,939,896","627,919,606","650,975,319","667,237,732","643,169,184","652,979,615","678,155,651","675,239,488","687,457,796"
19035,Cherokee,"44,148,180","49,746,493","53,739,277","61,607,862","68,051,430","65,936,692","65,970,175","72,315,494","69,200,716","66,606,131","65,677,904","65,494,542","65,708,831","68,145,885","66,164,079","70,569,294","71,951,332","73,396,791","77,324,895","79,904,000","80,843,194","83,955,250","88,120,882","89,183,934","85,145,381","82,333,594","80,555,974","84,594,857","76,064,993","79,079,814","81,897,591","86,243,270","90,446,103","94,059,238","92,772,338","98,343,641","103,709,097","103,032,420","103,565,809"
19037,Chickasaw,"36,005,021","41,318,744","46,761,901","52,713,264","57,880,841","53,989,808","55,829,778","55,115,054","52,521,063","50,386,163","47,924,793","54,235,373","50,065,215","49,269,126","48,146,099","50,236,466","53,091,685","55,176,516","57,798,546","60,527,009","61,498,622","67,385,344","63,072,676","67,543,807","72,272,457","72,813,964","73,459,303","73,343,533","72,000,790","74,904,672","76,204,623","82,072,241","86,677,038","89,237,441","83,395,793","86,539,219","92,446,696","89,621,310","91,732,652"
