FIPS,Area Name,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
1916545,Correctionville,"2,065,845","2,414,884","2,508,734","2,847,907","3,231,071","3,133,759","2,907,649","3,058,620","3,044,358","2,411,266","2,363,962","2,309,384","2,741,468","2,958,166","3,121,616","3,402,206","3,666,962","3,551,783","3,884,811","4,294,943","4,299,411","4,443,603","5,459,812","5,416,546","5,416,377","5,184,016","5,557,155","5,198,192","5,061,997","5,360,633","5,233,924","5,317,034","5,792,379","6,543,679","6,700,472","7,601,008","7,963,808","7,133,265","7,543,088"
1916590,Corwith,"2,071,922","2,235,105","1,732,956","1,979,676","2,345,925","2,297,807","2,569,899","2,318,551","1,853,439","1,986,472","1,400,550","1,429,497","1,433,073","1,133,338","920,242","851,270","834,704","1,009,312","963,947","991,426","947,572","1,086,509","970,785","1,176,595","1,083,997","1,020,187","1,036,262","955,884","828,593","911,461","978,592","944,231","978,229","1,165,765","1,315,715","1,242,264","1,381,028","1,340,665","1,294,099"
1916635,Corydon,"6,951,181","8,159,272","9,139,752","10,402,000","12,172,692","10,831,286","11,263,710","10,016,934","9,241,993","9,084,362","9,958,292","10,029,998","9,488,482","9,599,518","9,794,108","10,247,765","10,141,457","10,473,625","10,601,540","10,462,992","11,669,825","10,883,686","10,236,401","10,251,142","9,909,329","9,724,738","10,040,853","10,470,958","10,273,593","10,861,451","10,079,282","10,723,952","11,656,788","12,878,637","12,901,975","13,123,200","14,569,805","13,076,831","13,575,597"
1916725,Cotter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916815,Coulter,"390,510","357,859","497,265","1,427,851","1,330,548","847,284","811,366","1,019,414","683,481","744,779","668,374","751,712","929,990","1,173,916","1,277,464","1,361,327",NA,NA,"424,220","517,412","432,722","524,671","572,651","673,916","531,819","463,302","566,708","447,478","494,909","637,480","763,126","491,141",NA,NA,NA,NA,NA,NA,NA
1916860,Council Bluffs,"133,865,260","154,617,366","159,145,041","167,856,245","185,054,516","203,401,568","211,710,730","234,251,379","256,795,040","265,332,040","266,181,234","295,928,909","322,522,544","346,450,119","364,370,272","371,707,786","398,124,327","426,074,938","449,906,299","506,924,302","563,247,816","600,869,243","636,076,274","710,799,214","756,267,688","773,729,862","810,767,805","796,713,586","798,695,119","840,037,183","883,865,014","935,968,489","914,475,254","889,549,107","915,044,160","905,082,718","1,006,817,745","995,978,384","1,041,361,655"
1916950,Craig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"482,994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917130,Crawfordsville,"480,836","664,711","704,789","792,827","732,073","548,353","652,328","621,623","593,818","728,757","524,610","533,117","629,245","668,108","595,170","664,770","694,788","884,452","964,951","1,120,355","1,223,202","1,001,517","1,040,063","1,244,557","1,539,291","1,547,079","753,753","858,395","662,700","716,501","706,518","572,840","612,611","539,344","621,554","531,311","529,121","441,078","624,697"
1917175,Crescent,"640,082","929,113","1,079,001","1,353,159","1,439,692","1,564,280","1,568,633","1,394,585","1,714,370","1,793,802","1,998,611","2,236,253","2,136,792","2,401,332","3,807,376","3,486,338","3,834,809","4,051,533","4,400,129","4,523,412","3,957,285","4,428,904","5,751,157","6,091,720","4,500,740","4,447,785","3,671,956","3,493,401","4,050,170","5,972,327","5,464,208","5,695,872","7,388,725","5,138,970","4,883,506","6,725,881","5,443,170","5,440,460","5,700,107"
1917220,Cresco,"16,902,621","20,276,008","23,228,888","26,600,593","29,992,137","29,336,159","31,227,613","31,383,260","30,821,322","27,976,410","29,310,284","29,279,043","28,932,199","28,212,098","28,312,832","30,855,852","33,025,121","34,898,061","35,633,426","36,224,625","35,180,945","37,541,315","39,278,288","42,633,714","44,358,430","41,433,355","44,264,696","41,952,319","41,375,146","43,136,218","41,980,363","44,383,687","42,533,541","44,211,731","42,593,220","45,882,023","48,967,860","47,219,240","51,465,971"
1917265,Creston,"30,866,969","37,549,433","40,972,163","45,861,621","51,703,130","49,277,404","50,097,167","52,197,311","52,867,109","51,945,072","53,784,900","55,515,186","56,708,846","56,457,527","60,746,343","68,620,216","68,480,488","71,801,822","76,525,672","79,376,222","88,787,365","191,481,359","116,022,228","100,579,527","101,629,223","93,029,361","100,637,768","100,704,739","101,987,939","101,108,385","110,065,204","110,658,776","109,862,521","119,235,466","112,202,714","108,024,712","111,050,541","112,080,347","110,311,992"
1917490,Cromwell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917670,Crystal Lake,"1,574,962","1,247,584","1,117,586","739,183","818,989","794,282","894,630","790,188","603,971","538,382","488,726","459,779","451,849","374,591","326,051","315,515","435,973","480,152","456,393","463,824","516,815","517,351","494,525","470,067","480,854","425,322","407,586","419,741","435,047",NA,NA,NA,"551,684","618,152",NA,NA,NA,NA,NA
1917760,Cumberland,"685,045","885,634","914,696","962,457","1,326,159","1,357,204","1,172,781","1,040,260","1,063,024","1,027,257","1,107,070","1,061,303","1,021,641","1,046,810","1,039,809","1,039,883","1,028,480","1,104,286","1,074,525","1,056,613","1,075,507","1,671,061","1,317,645","711,261","1,260,876","829,409","917,234","902,579","904,878","1,001,732","831,504","638,417","343,397","457,071","431,085","364,170","285,583","455,328","592,861"
1917850,Cumming,NA,NA,NA,NA,"95,179",NA,NA,"138,074","152,679",NA,"295,908","259,464","276,053","445,570","619,842","510,218","641,155","806,812","833,995","789,267","808,882","1,108,638","1,218,127","1,921,988","1,717,633","1,198,067","1,357,487","1,584,918","1,606,710","1,689,403","1,528,326","2,599,602","4,163,599","7,836,893","9,119,536","7,404,845","8,342,168","8,904,256","9,319,737"
1917895,Curlew,NA,NA,"90,948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917940,Cushing,"588,951","584,392","840,582","839,626","812,136","494,553","459,842","666,318","448,663","367,566","419,045","680,843","481,413","441,621","388,487","293,771","303,953","250,649","238,251","270,221","237,172","226,157","221,356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"505,225","567,012","718,287","603,240","431,942","416,701"
1917985,Cylinder,"906,160","869,538","774,319","710,465","911,187","870,430",NA,NA,NA,"416,537","447,993","531,518",NA,NA,NA,NA,NA,"445,060","434,903","517,370","537,505","572,603","693,654","637,573","546,439","553,939","548,559","557,926","567,312","552,830","460,146","546,635","416,336","629,386","806,346","792,405","768,043","653,606","1,300,166"
1918075,Dakota City,"767,618","684,248","672,671","946,236","998,331","1,084,522","1,094,168","1,074,371","986,374","984,130","896,007","1,096,201","1,188,424","1,458,730","1,402,120","1,482,536","1,919,542","1,924,240","2,026,480","1,959,579","1,791,221","1,882,548","1,961,156","2,055,752","1,699,789","1,676,619","1,873,351","1,788,490","1,956,592","2,242,062","2,353,206","2,082,835","2,286,201","2,476,298","2,361,157","2,353,870","2,523,344","2,493,777","2,597,820"
1918255,Dallas Center,"3,867,396","3,774,750","3,455,522","2,729,049","2,877,858","2,752,440","2,947,311","3,078,205","2,818,264","2,998,593","3,678,118","3,842,623","3,503,002","4,333,486","4,418,653","4,384,749","4,252,750","4,039,055","4,170,262","4,807,206","4,744,025","6,345,878","5,707,687","5,650,678","5,990,566","5,502,488","5,556,124","5,663,371","6,037,852","6,107,372","6,803,551","6,838,460","7,098,848","8,775,112","8,584,739","8,736,678","8,900,721","11,404,964","12,919,089"
1918345,Dana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918390,Danbury,"1,234,783","1,297,272","1,471,299","2,008,949","2,048,099","1,976,463","1,822,688","2,523,217","2,254,841","2,232,868","2,328,552","2,756,505","2,290,199","2,233,576","2,441,121","2,390,270","2,403,676","2,440,126","2,699,062","3,028,532","3,677,084","2,969,766","2,690,397","2,469,029","2,309,946","1,986,555","2,048,972","1,892,619","1,816,403","1,918,950","2,255,426","2,160,027","2,240,136","2,333,163","2,374,410","2,506,876","2,388,914","2,149,225","2,224,201"
