FIPS,Area Name,FY 1976,FY 1977,FY 1978,FY 1979,FY 1980,FY 1981,FY 1982,FY 1983,FY 1984,FY 1985,FY 1986,FY 1987,FY 1988,FY 1989,FY 1990,FY 1991,FY 1992,FY 1993,FY 1994,FY 1995,FY 1996,FY 1997,FY 1998,FY 1999,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
19000,State of Iowa,"8,608,072,750","9,695,572,234","10,599,259,326","11,937,333,230","13,112,406,928","13,092,629,737","13,410,646,811","13,812,084,828","14,180,662,045","14,542,219,999","14,789,013,606","15,588,803,568","16,187,378,730","17,061,104,576","17,953,167,717","18,704,127,896","19,503,730,902","20,410,006,777","21,427,415,422","22,461,226,855","23,534,006,709","24,528,959,504","25,332,748,804","26,770,708,316","27,586,079,482","28,408,282,711","28,446,628,937","28,704,897,813","29,099,277,162","29,805,300,584","31,108,387,657","31,645,718,767","33,089,024,825","33,559,887,618","31,943,592,540","32,904,016,683","34,537,967,263","34,800,587,136","35,847,612,592"
1900190,Ackley,"6,116,893","6,774,476","6,527,419","7,052,719","7,445,856","7,066,142","7,948,840","7,354,173","7,527,109","6,905,660","6,631,199","6,442,623","6,723,804","6,724,753","7,157,289","7,025,082","6,544,560","7,407,611","7,699,279","7,788,514","8,095,262","8,991,915","9,468,482","9,925,177","9,288,257","9,560,119","9,505,562","9,016,550","8,228,843","8,196,939","8,257,039","8,298,466","8,244,752","9,358,381","9,344,050","8,708,663","8,840,797","8,590,667","8,314,307"
1900235,Ackworth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"238,583","221,382",NA,NA,NA,NA,NA,NA
1900370,Adair,"5,320,532","7,463,537","6,196,884","6,893,096","8,581,741","9,820,265","10,341,476","10,800,957","10,015,958","8,815,571","7,594,029","8,118,235","6,857,293","6,724,854","6,549,368","6,838,660","6,545,722","6,858,951","7,457,749","7,844,292","8,918,033","8,982,649","9,232,676","9,467,704","9,843,790","9,865,539","9,765,760","9,634,242","9,844,755","10,761,238","11,318,910","11,767,879","12,021,613","12,449,584","11,855,785","13,327,657","14,330,147","12,539,680","12,741,458"
1900505,Adel,"12,281,859","13,805,003","13,639,105","15,869,719","16,897,808","17,566,625","18,583,126","20,390,305","24,732,051","25,232,990","17,931,008","12,141,088","13,011,823","13,914,036","15,193,692","15,638,877","16,868,967","19,029,148","19,895,848","22,071,365","24,529,460","24,357,158","26,349,228","28,551,393","30,181,978","28,968,189","29,651,070","35,652,803","37,983,106","45,455,915","37,967,441","44,753,757","41,151,175","44,309,702","43,767,078","43,967,751","47,469,328","49,821,746","54,282,096"
1900595,Afton,"2,231,871","2,406,564","3,024,383","3,418,220","4,086,805","3,864,301","3,661,560","3,864,090","2,965,811","2,791,853","2,525,491","2,834,029","2,564,212","2,386,936","2,536,715","2,566,068","2,898,455","2,867,049","3,631,111","3,924,896","3,855,771","3,502,452","4,370,322","4,557,834","4,425,702","5,074,622","5,086,743","4,411,630","4,027,062","4,945,361","4,550,376","5,196,285","6,154,775","6,314,704","6,363,259","6,680,420","7,866,773","7,637,652","8,010,006"
1900640,Agency,"609,052","663,046","652,089","828,591","1,074,644","1,479,872","1,061,003","1,115,134","1,292,592","1,214,435","1,542,975","1,314,694","1,099,597","1,558,015","1,705,647","1,641,166","1,455,033","1,372,520","1,353,326","1,430,694","1,615,705","2,048,746","1,984,875","1,994,494","2,035,345","2,161,182","2,357,035","2,218,798","1,963,487","1,685,962","1,975,900","2,152,119","1,975,767","1,609,025","1,583,050","1,485,073","1,674,258","1,792,638","1,502,817"
1900730,Ainsworth,"733,858","875,291","970,265","1,158,794","1,235,446","1,161,398","1,498,998","1,490,760","1,265,072","1,226,484","1,216,721","1,003,492","1,126,976","1,261,851","1,100,395","1,004,848","1,066,338","1,102,041","1,068,242","1,081,218","1,345,316","1,753,313","1,520,401","2,422,419","2,731,026","3,284,866","3,745,052","3,572,727","2,935,972","4,953,764","5,094,609","5,313,511","4,554,348","4,639,723","4,418,654","3,299,783","3,550,379","4,369,844","4,506,295"
1900775,Akron,"4,710,676","4,321,760","5,003,010","5,550,532","6,029,495","5,689,152","5,504,499","5,852,626","5,619,720","6,678,314","7,036,755","6,721,735","6,505,302","6,850,929","6,515,228","7,113,781","7,230,154","7,460,437","7,469,350","7,515,183","7,539,837","7,716,290","7,721,671","7,528,954","7,933,299","7,442,682","6,946,310","7,463,236","7,402,125","8,079,174","8,742,387","8,332,075","10,359,738","9,925,319","8,849,406","8,854,550","9,879,871","8,578,451","9,192,429"
1900865,Albert City,"5,441,957","5,230,501","5,013,810","6,591,969","7,142,828","5,527,304","4,825,693","5,123,180","4,534,312","3,588,143","4,067,355","5,145,291","4,142,807","2,807,485","2,108,862","2,323,557","2,331,946","2,194,986","2,281,802","2,430,346","2,399,193","2,451,971","2,500,200","2,616,666","2,350,740","2,389,348","2,726,117","2,643,416","2,472,298","1,981,264","2,800,778","5,121,075","3,194,030","3,162,684","3,446,506","3,010,281","3,072,564","2,893,822","2,362,268"
1900910,Albia,"15,038,259","16,592,405","16,651,826","18,073,968","20,379,467","21,216,580","21,451,246","21,013,656","22,903,534","22,764,798","22,783,516","22,674,094","23,050,182","25,240,085","25,711,257","26,162,361","24,792,676","28,008,535","28,914,175","30,302,195","30,775,179","29,667,534","27,633,276","31,895,332","33,455,903","33,094,844","34,301,344","32,832,425","30,471,196","29,848,968","25,726,211","27,442,811","29,776,065","31,733,626","33,410,180","34,368,962","34,489,986","35,024,244","35,671,229"
1900955,Albion,"705,146","678,568","701,124","839,926","956,974","963,734","983,589","965,647","1,060,169","1,024,451","1,060,329","1,110,055","1,177,308","1,328,084","1,417,698","1,453,140","1,225,441","846,582","741,008","903,054","1,213,555","832,379","848,040","959,536","1,047,475","1,064,115","1,747,607","1,861,183","1,241,040","1,150,487","1,171,059","1,351,381","1,313,711","1,258,735","1,184,465","1,145,927","1,370,072","1,303,091","1,409,604"
1901000,Alburnett,"1,006,889","1,168,074","1,405,503","1,476,572","1,710,338","1,678,807","1,318,344","1,201,873","1,140,267","1,148,881","1,072,695","965,895","1,021,245","1,075,909","992,045","1,364,897","1,267,482","1,411,387","1,407,762","1,691,091","1,895,565","1,911,192","1,921,657","2,005,297","2,415,414","2,569,979","2,683,938","2,704,829","2,593,997","2,535,454","2,373,763","2,491,592","2,347,393","2,616,455","2,612,194","2,832,545","3,252,072","3,233,504","2,945,978"
1901045,Alden,"1,683,741","1,824,369","1,670,966","1,995,803","1,940,704","2,428,385","3,136,563","4,773,648","3,636,086","3,629,821","3,111,665","2,532,429","2,256,077","2,422,024","2,094,925","2,322,763","5,100,515","3,448,088","3,177,044","3,837,192","4,737,842","4,318,206","4,672,765","4,748,180","5,624,389","4,841,186","4,562,122","5,221,710","5,547,050","5,468,989","6,544,846","6,695,447","7,478,385","8,150,944","7,511,546","7,814,922","8,609,931","7,698,519","8,863,718"
1901090,Alexander,"723,717","762,975","1,010,516","1,383,412","1,291,892","897,671","588,421","593,803","562,186","493,352",NA,"381,577","413,437","362,734","330,626","361,516","329,764","421,066","266,959","353,532","290,154","225,457","229,030","200,645","269,830","965,856","1,130,220",NA,"691,199","560,891","870,017","744,884","807,157","870,255","763,981","714,192","531,427","343,089","204,989"
1901135,Algona,"44,131,589","47,789,398","51,253,522","60,979,826","69,233,256","66,254,155","72,426,354","68,435,248","71,549,217","66,619,511","64,226,082","63,179,845","59,713,194","60,120,246","64,113,624","64,168,389","64,417,236","68,220,824","71,704,160","74,822,605","76,643,224","75,028,715","78,145,466","79,173,875","76,588,523","80,943,775","79,087,169","82,429,099","85,106,916","86,824,624","93,698,567","100,352,616","104,127,188","102,716,642","100,921,401","104,733,984","112,657,340","115,047,423","113,085,346"
1901180,Alleman,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,071,541","1,077,963","1,035,702","935,390","877,323","1,077,515","841,925","735,542","944,546","973,609","950,096","917,658","780,688","1,067,742","1,091,338","1,154,326","1,576,127","1,055,752","1,040,537","1,212,782","1,398,805","1,590,699","1,225,914","1,254,327","1,260,852","944,797","1,273,471","1,300,836","1,171,360","2,010,490"
1901270,Allerton,"717,832","848,973","778,190","917,861","1,097,573","1,074,320","1,116,812","1,000,984","1,085,184","1,134,472","958,403","1,083,072","1,141,194","1,040,515","1,116,024","1,053,513","1,180,606","1,288,370","1,256,387","2,403,013","3,159,849","3,331,635","2,978,854","2,515,661","2,355,194","2,435,623","2,709,838","2,896,633","2,703,714","2,606,974","2,581,893","1,283,654","1,276,764","1,577,979","1,510,494","1,441,211","1,357,040","1,581,453","1,663,708"
1901315,Allison,"6,762,060","7,919,631","8,315,452","9,820,205","11,054,120","10,332,904","11,029,815","11,819,700","11,591,309","11,256,838","11,742,259","11,333,743","10,980,816","10,457,772","10,219,151","10,513,664","11,121,080","11,999,759","11,882,082","11,858,915","10,120,884","12,588,856","12,269,553","12,575,645","12,998,859","13,206,724","12,346,254","11,380,187","10,318,649","8,577,626","7,899,161","6,108,162","6,051,681","7,822,368","6,485,587","7,315,705","6,548,184","6,326,942","6,768,553"
1901495,Alta,"7,770,568","8,616,687","9,479,932","10,143,956","11,254,565","10,667,308","9,667,777","9,994,711","9,814,480","9,381,653","8,908,083","10,791,954","10,469,385","10,600,659","11,576,028","11,626,109","8,873,718","7,398,020","7,607,730","8,402,213","8,788,683","8,785,356","7,828,677","8,882,972","8,331,605","7,674,820","13,201,598","12,055,505","12,027,438","10,755,031","9,642,014","9,736,094","10,605,759","9,675,157","6,727,602","6,739,612","7,959,844","7,514,721","8,347,609"
1901540,Alta Vista,"1,001,854","1,074,824","1,279,384","1,387,886","1,468,849","1,403,717","1,494,107","1,561,534","1,478,979","1,417,701","1,228,434","1,258,024","951,743","1,065,452","1,111,723","1,199,572","1,308,777","1,247,855","1,225,206","1,335,746","1,279,380","1,322,146","1,158,308","1,120,192","1,147,288","1,213,878","1,794,347","2,031,687","1,130,010","998,858","916,703","980,978","878,206","834,490","1,021,818","1,040,584","1,914,446","1,374,818","1,183,964"
1901585,Alton,"3,713,510","3,145,727","3,814,593","4,657,116","4,976,370","5,109,538","5,663,730","5,083,278","5,433,898","4,667,316","3,450,087","3,660,507","4,547,446","5,058,020","5,441,247","5,393,996","5,176,928","5,578,434","5,927,880","6,081,263","5,933,782","6,733,794","7,787,261","7,518,677","7,228,189","6,458,210","6,411,697","6,280,710","5,410,788","5,612,038","7,096,430","6,851,478","7,023,211","7,017,862","7,386,381","7,710,315","8,411,992","8,395,879","9,296,415"
1901630,Altoona,"11,392,899","14,066,217","17,577,338","20,511,695","22,472,474","24,007,393","25,823,731","27,424,017","29,360,651","32,085,832","41,666,866","45,880,087","45,996,435","48,766,938","55,398,465","56,083,438","58,377,014","60,887,176","71,200,169","76,127,210","77,790,637","85,046,889","86,505,686","87,738,031","95,510,949","136,731,728","161,672,791","190,515,028","210,110,562","300,764,887","326,328,358","334,749,367","341,749,040","345,717,566","381,293,824","394,379,761","436,485,596","452,040,188","478,651,275"
1901675,Alvord,"272,343","277,567","246,687",NA,"383,752",NA,NA,"321,101","309,858","255,876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"278,111","337,635",NA,"413,151",NA,"637,313","740,111","698,709","663,021","625,203","672,722","844,499","835,988","828,708"
1901855,Ames,"121,585,903","143,829,261","160,844,646","182,908,239","198,746,939","209,725,399","215,542,019","230,684,394","239,593,863","250,714,160","264,570,792","275,182,336","295,921,416","314,275,710","334,198,960","352,370,500","362,896,072","384,000,366","396,574,338","423,993,414","438,277,022","475,207,664","517,593,083","565,739,172","600,703,682","585,008,473","597,325,733","624,229,860","636,841,376","644,940,186","672,564,848","702,699,052","721,929,548","732,479,875","716,241,777","733,291,102","773,074,664","788,202,534","827,647,453"
1901990,Anamosa,"17,622,818","19,865,968","22,516,043","24,922,033","26,892,837","27,026,157","27,857,825","28,370,386","30,168,416","31,070,241","35,046,498","36,982,161","39,235,360","40,848,255","41,473,912","42,772,850","43,045,019","44,389,570","45,933,642","47,422,657","52,426,729","54,273,405","55,946,719","57,316,025","61,230,771","59,331,983","63,321,119","65,325,050","73,331,325","70,322,148","70,777,268","73,864,450","69,860,229","80,446,071","76,575,045","64,359,112","68,968,287","70,348,639","72,066,059"
1902080,Andover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902125,Andrew,"306,581","374,522","421,858","577,697","688,045","654,443","724,960","855,066","692,052","629,002","592,042","520,904","541,000","561,933","541,316","581,931","585,935","548,359","472,354","511,785","720,139","880,141",NA,NA,"868,466","932,547",NA,NA,NA,"755,960","765,311","780,717","826,205","854,956","831,139",NA,"835,716","825,874","848,546"
1902260,Anita,"3,193,490","3,603,887","3,625,069","4,089,542","4,330,486","4,097,057","4,048,467","4,258,016","4,119,471","4,117,291","4,003,439","3,932,313","3,944,925","4,102,905","4,106,070","4,275,045","4,249,353","4,192,213","4,215,558","4,378,386","4,317,520","4,209,845","3,990,582","4,419,316","4,608,480","4,677,979","4,315,526","3,914,034","3,956,242","3,601,899","3,683,633","3,552,012","3,902,760","4,189,552","4,011,176","4,284,589","5,288,539","6,679,194","6,814,649"
1902305,Ankeny,"28,471,208","34,192,829","39,814,534","48,413,303","53,942,833","53,794,726","53,889,432","57,869,753","67,174,310","72,790,024","69,100,954","76,852,156","85,702,888","98,376,577","101,360,816","116,548,418","127,737,391","131,781,873","152,683,900","185,773,977","193,097,597","207,411,950","222,064,471","244,161,790","277,266,781","296,942,692","336,282,498","371,959,626","415,484,756","466,108,968","514,316,083","538,000,263","562,967,614","601,447,180","622,122,041","658,098,454","682,910,249","714,824,490","775,170,562"
1902350,Anthon,"4,733,504","4,048,697","4,374,319","5,172,421","5,826,596","4,534,888","4,896,672","3,718,840","3,016,024","2,973,155","3,578,194","3,670,560","2,560,919","2,546,326","2,707,890","3,168,132","3,230,390","3,280,519","2,653,881","2,684,460","2,885,005","2,988,030","2,786,580","2,763,345","2,817,339","2,700,264","2,900,810","2,915,888","3,044,582","3,046,020","2,906,166","2,970,609","2,966,047","3,185,423","3,213,207","3,754,170","3,806,205","3,687,657","3,958,352"
1902395,Aplington,"3,880,775","4,367,430","3,318,678","3,673,280","3,795,381","5,176,327","6,374,496","6,560,759","5,704,193","4,454,369","4,429,118","3,310,879","3,503,914","3,866,221","3,895,052","3,862,969","3,707,370","3,920,811","3,736,357","3,957,828","4,267,370","4,778,742","4,813,157","5,157,983","5,419,566","4,938,453","4,714,044","5,553,918","5,401,307","5,324,961","5,521,637","4,904,942","4,363,431","5,044,616","5,068,851","4,573,572","4,747,587","5,613,706","4,155,990"
1902485,Arcadia,"1,190,222","1,288,981","1,448,556","1,672,375","1,966,849","1,877,780","1,844,409","1,988,455","1,933,934","1,762,487","1,726,656","1,776,916","1,978,603","2,273,136","2,241,006","2,772,600","2,951,445","2,721,495","2,937,852","2,750,248","2,582,394","3,611,037","4,343,562","3,524,519","3,263,799","3,049,393","2,967,543","2,953,127","3,502,919","4,138,790","4,323,372","5,079,313","6,447,998","6,593,072","5,842,768","5,303,368","5,699,060","5,892,062","6,061,707"
1902530,Archer,"362,875","451,488","420,348","460,568","739,385","693,449",NA,"628,350","610,743","648,624","565,645","772,990","862,829","808,538","916,387",NA,"899,377","847,290","887,306","882,210","947,078","1,037,763","1,003,402","805,792","819,420","664,998","650,519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902620,Aredale,NA,NA,NA,NA,NA,NA,NA,"425,839","417,798","369,697",NA,NA,NA,NA,NA,NA,NA,NA,NA,"202,790","189,444","201,919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902755,Arion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902800,Arispe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902845,Arlington,"2,342,518","2,441,178","2,089,591","2,266,590","2,678,886","2,653,066","2,633,749","2,182,578","1,855,163","1,526,644","1,566,707","1,625,210","1,651,438","1,583,691","1,651,400","1,745,974","1,646,514","1,685,908","1,768,393","1,782,176","2,061,935","2,092,746","1,927,598","1,907,807","1,689,011","2,101,122","1,624,762","1,756,000","1,315,643","1,408,497","1,255,822","1,263,693","1,156,198","1,405,897","1,529,015","1,209,289","1,230,702","1,150,085","1,097,422"
1902935,Armstrong,"4,379,715","4,181,490","3,947,672","4,444,572","5,060,621","4,892,020","5,399,861","5,565,539","6,006,535","5,560,199","5,625,915","5,841,228","6,097,660","6,438,990","6,184,850","6,516,654","6,738,101","7,116,292","6,449,761","5,976,578","6,624,743","7,149,315","8,362,969","7,993,558","8,105,908","6,354,252","7,455,204","8,679,214","7,141,962","7,839,168","8,300,231","9,544,914","8,053,241","8,243,711","7,539,949","7,399,716","7,266,771","7,028,591","8,464,538"
1903025,Arnolds Park,"4,842,228","5,367,407","5,955,217","7,702,680","7,600,677","7,562,184","8,067,337","7,025,071","7,003,804","6,950,433","6,859,017","7,961,137","8,481,576","9,102,473","11,609,378","11,486,679","10,859,117","12,079,548","11,982,395","13,980,141","14,976,359","16,061,529","17,548,306","18,726,717","19,927,612","23,898,050","25,295,425","33,872,136","22,944,881","25,630,636","26,738,584","29,896,905","29,563,454","30,795,217","28,087,024","29,045,047","33,483,118","34,663,370","35,352,614"
1903115,Arthur,"518,562","577,914","671,688","797,057","860,243","666,777","731,528","619,542","399,262","353,977","438,832","527,059","550,329","434,227","497,819","467,564","429,963","461,022","515,393","449,021","495,368","685,441","683,721","615,161","586,184","601,405","689,360","736,888","691,969","1,095,291","1,167,664","1,057,701","1,255,895","1,036,454","970,116","940,232","956,677","847,426","3,599,369"
1903160,Asbury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"430,846"
1903295,Ashton,"1,632,260","1,615,979","1,880,172","1,980,913","2,265,278","1,889,515","2,019,707","2,343,138","1,489,554","1,388,356","1,331,410","1,320,402","1,729,352","1,401,811","1,370,878","1,440,053","1,478,398","1,544,878","1,613,043","1,649,822","1,592,020","1,584,599","1,625,763","1,559,629","1,278,952","1,860,499","2,031,349","1,891,457","2,233,191","1,778,066","1,713,565","1,705,234","1,777,038","1,809,002","1,567,785","1,587,687","995,196","937,346","662,321"
1903340,Aspinwall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"937,779",NA,NA,NA,NA,NA,NA,NA,NA,NA
1903385,Atalissa,"1,424,553","1,436,654","1,157,642","1,337,229","350,062","322,281","331,956","349,988","351,696","422,580","411,491","437,709","457,985","550,508","436,890",NA,"353,772","504,174","578,825","886,685","653,599","422,566","362,117","426,647","420,414","622,145","694,342","623,460","502,221","891,583","1,060,866","1,038,561","1,065,501","749,139","690,297","429,856","501,085","494,523","475,305"
1903475,Atkins,"873,569","965,800","995,725","1,078,223","1,497,711","1,687,066","1,303,084","1,416,291","1,476,641","1,325,879","1,239,653","1,401,294","1,326,592","1,422,643","1,340,486","1,386,287","1,591,546","2,026,622","2,049,472","2,239,453","2,483,147","3,499,099","3,588,109","3,965,954","4,158,267","4,548,787","4,910,947","6,003,337","6,543,507","7,235,532","6,826,961","6,799,335","7,545,408","8,001,224","7,568,604","7,498,035","8,540,731","7,677,476","8,824,276"
1903520,Atlantic,"38,180,572","43,187,453","46,415,415","53,008,615","57,486,294","59,253,549","57,851,443","62,523,658","64,273,945","65,422,432","60,374,343","60,810,796","62,529,585","63,546,861","65,066,850","67,333,710","69,286,397","68,873,435","70,567,287","71,711,161","74,399,196","79,708,131","79,477,492","82,182,188","85,754,726","80,218,878","81,978,607","83,079,574","82,806,701","83,441,737","96,157,145","99,236,801","108,491,987","112,295,929","108,838,285","112,393,184","117,862,857","114,434,844","118,848,442"
1903610,Auburn,"574,483","641,277","720,813","878,843","1,238,409","1,058,913","1,121,613","1,184,980","1,384,540","1,371,272","1,260,541","1,104,633","940,636","903,037","939,188","936,277","901,695","910,166","957,451","930,779","956,566","952,030","1,256,596","1,318,700","1,403,718","1,266,180","1,230,285","1,507,903","1,611,642","1,852,693","2,028,469","2,505,278","2,153,163","2,108,345","1,481,683","1,734,554","1,946,435","2,375,780","2,108,727"
1903655,Audubon,"16,183,015","18,625,542","22,042,058","21,900,577","25,694,424","22,937,419","22,683,079","24,278,524","24,033,912","23,035,158","21,334,997","18,396,330","20,175,386","19,237,019","19,282,460","22,450,889","23,342,105","23,430,323","23,563,999","21,817,676","23,171,511","23,948,071","22,763,281","21,272,796","21,088,395","22,076,451","22,025,407","22,659,658","22,417,075","22,632,296","22,665,529","23,280,038","25,784,099","25,236,334","25,207,445","25,575,495","28,054,890","27,223,749","28,578,479"
1903745,Aurelia,"1,583,571","1,762,079","1,893,209","1,988,978","2,295,750","2,529,272","2,648,216","2,839,701","2,748,167","2,785,831","2,881,972","2,796,175","2,957,316","3,115,989","3,255,939","3,158,359","3,437,986","4,415,740","4,924,731","5,895,151","5,246,351","5,590,140","6,081,959","6,091,095","4,045,989","3,121,894","3,234,667","3,069,906","2,676,481","2,586,810","5,691,347","6,061,485","6,456,512","6,937,132","6,141,010","6,985,058","7,911,132","6,096,618","6,006,954"
1903835,Aurora,"302,000","434,235","515,752","825,573","1,019,798","803,413","958,591","1,179,515","545,755","508,344","498,373","697,107","668,227","486,190","527,623","750,476","841,743","985,484","1,085,320","1,062,781","974,255","1,032,616","1,249,817","1,248,905","1,382,814","1,346,581","983,268","1,023,987","752,658","779,250","910,781","993,471","972,068","1,029,412","898,387","975,050","835,513","799,315","756,458"
1903970,Avoca,"9,056,935","9,666,494","10,510,227","12,394,809","13,848,109","12,607,151","13,225,888","15,062,127","13,936,058","15,805,424","15,573,565","17,186,851","16,070,067","14,032,028","13,217,176","14,253,622","14,326,049","14,869,962","18,084,754","18,626,841","19,512,618","21,490,768","21,421,104","15,557,505","11,463,909","11,750,763","16,421,949","16,265,450","17,434,474","17,006,500","19,007,033","20,104,251","20,911,034","22,042,240","21,571,702","24,164,678","26,750,764","29,141,338","28,751,514"
1904105,Ayrshire,"638,379","669,981","642,702","771,024","872,948","816,083","781,180","488,392","422,803","369,133","391,877","371,110","253,250","319,288",NA,NA,"346,541",NA,NA,"610,362","598,954",NA,NA,NA,"669,795",NA,NA,"509,226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904195,Badger,"1,543,469","2,025,950","1,949,290","1,685,396","1,321,085","1,341,806","1,101,519","1,313,447","983,998","749,352","591,309","754,315","704,216","787,141","901,452","805,271","853,993","1,086,232","1,238,782","1,502,322","1,500,555","1,312,153","533,478","633,571","644,405","765,203","469,253","531,246","1,199,239","1,404,015","1,832,996","1,121,389","1,170,671","1,281,129","1,633,783","1,385,398","1,203,036","1,214,312","1,225,077"
1904240,Bagley,"1,996,631","2,088,199","1,588,005","2,634,404","2,756,391","2,379,084","1,836,698","2,380,261","2,096,702","1,650,703","909,835","453,968","578,538","442,440","467,922","488,624","474,963","380,228","401,494","472,667","554,006","446,371","473,592","510,494","628,893","449,003","357,963","365,370","355,203","394,678","285,300","321,873","439,658","346,924","349,855","334,991","329,582","328,505",NA
1904330,Baldwin,NA,NA,NA,NA,"212,015","213,527","220,585","207,318","218,983","190,524",NA,"213,669","243,032","289,549","180,509","129,502",NA,"323,171","420,454","462,729","449,528","451,656","510,572","457,324","532,580","754,590","890,013","708,289","637,228","745,636","805,531","929,572","1,031,545","1,007,612","1,049,913","1,188,398","1,213,312","1,224,074",NA
1904375,Balltown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904420,Bancroft,"5,672,814","6,950,987","6,964,236","7,710,266","8,656,602","8,420,513","7,671,785","7,652,466","7,177,804","7,064,847","6,541,988","7,550,048","5,901,159","5,466,778","5,466,677","5,733,345","5,913,943","5,780,567","5,495,315","5,875,031","6,150,213","6,780,404","6,516,921","6,409,278","5,924,891","6,023,986","5,690,014","5,448,943","12,550,452","6,107,448","6,814,525","7,256,284","7,913,956","8,611,183","9,077,710","9,291,474","10,158,640","10,412,594","10,652,450"
1904510,Bankston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904555,Barnes City,NA,"166,010","157,764","164,211","200,257","201,369","269,686","302,796","286,591","321,652","328,583","333,067","313,444","282,778","252,860","238,595","259,893","188,572","226,300","287,832","247,187","198,034","197,868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"597,145"
1904645,Barnum,NA,NA,"181,845","230,122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904780,Bassett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904825,Batavia,"1,375,268","1,378,214","1,147,352","473,253","741,557","818,522","730,430","731,587","711,465","663,534","706,182","739,833","912,082","871,719","726,250","1,061,202","1,937,467","2,598,774","3,323,252","4,795,333","8,807,503","13,598,560","17,833,028","22,178,469","24,694,835","25,410,542","23,953,086","26,947,052","28,646,004","34,000,294","37,163,087","41,380,458","45,304,116","35,757,113","28,227,834","28,615,303","29,523,697","29,058,681","25,493,283"
1904870,Battle Creek,"1,655,212","1,925,371","2,136,197","2,414,002","2,544,444","2,178,887","2,404,373","2,305,941","2,274,804","2,023,782","2,070,043","2,025,113","2,290,941","2,210,952","2,271,133","2,269,104","2,556,308","2,737,116","2,342,657","2,377,530","2,638,404","2,588,910","2,816,225","2,574,268","2,061,894","3,194,425","3,205,640","2,878,553","2,935,306","2,221,576","2,571,518","2,582,427","3,143,988","3,078,121","3,010,087","3,333,261","3,530,469","3,259,529","2,792,041"
1904915,Baxter,"1,904,103","1,385,080","1,532,925","1,898,345","2,586,660","2,954,771","2,717,984","2,621,606","2,576,518","2,457,299","2,327,194","2,355,995","2,159,880","2,113,233","2,407,563","2,381,166","2,443,007","2,775,768","2,640,635","2,586,051","2,801,602","2,891,506","2,668,527","2,790,148","2,815,387","2,759,243","2,883,122","2,981,522","3,318,419","3,600,158","2,992,490","3,226,123","3,296,437","3,139,501","3,271,372","3,557,028","4,210,933","4,377,346","4,209,463"
