id,address,match.code,po_box,box,mi,mile,exception,rr,need_match,no_address
886708296,1 WESTSIDE PKY SUMNER IA 50674,X,0,0,0,0,0,0,1,0
983747080,1 WESTWOOD CHARLES CITY IA 50616,X,0,0,0,0,0,0,1,0
233749233,1-80 EXIT 216N MARENGO IA 52301,X,0,0,0,0,0,0,1,0
843639055,10 2ND AVE W ALBIA IA 52531,X,0,0,0,0,0,0,1,0
203674148,10 2ND AVE W ALBIA IA 52531,X,0,0,0,0,0,0,1,0
312486210,10 4TH ST NE MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
145003596,10 4TH ST NE MASON CITY IA 50401,X,0,0,0,0,0,0,1,0
892518317,10 B AVE W ALBIA IA 52531,X,0,0,0,0,0,0,1,0
434502844,10 CENTRAL AVE SW LE MARS IA 51031,X,0,0,0,0,0,0,1,0
145636965,10 CENTRAL MALL # 101 OSKALOOSA IA 52577,X,0,0,0,0,0,0,1,0
455511246,10 E 3RD ST SPENCER IA 51301,4,0,0,0,0,0,0,1,0
974236846,10 E 3RD ST SPENCER IA 51301,4,0,0,0,0,0,0,1,0
983731555,10 E STATE ST ALGONA IA 50511,X,0,0,0,0,0,0,1,0
712016039,10 LINN ST ATLANTIC IA 50022,X,0,0,0,0,0,0,1,0
205048572,10 LINN ST ATLANTIC IA 50022,X,0,0,0,0,0,0,1,0
591395587,10 LINN ST ATLANTIC IA 50022,X,0,0,0,0,0,0,1,0
407908524,10 MAIN ST SIOUX RAPIDS IA 50585,2,0,0,0,0,0,0,1,0
939693172,10 N 3RD ST CLEAR LAKE IA 50428,X,0,0,0,0,0,0,1,0
145669735,10 N 4TH ST KEOKUK IA 52632,X,0,0,0,0,0,0,1,0
439701791,10 N JEFFERSON ST MT PLEASANT IA 52641,X,0,0,0,0,0,0,1,0
605047844,10 S 10TH ST KEOKUK IA 52632,X,0,0,0,0,0,0,1,0
904019080,10 S 13TH ST KEOKUK IA 52632,X,0,0,0,0,0,0,1,0
843431586,10 S COMMERCIAL ALY MASON CITY IA 50401,4,0,0,0,0,0,0,1,0
145089199,10 SW 7TH ST POCAHONTAS IA 50574,X,0,0,0,0,0,0,1,0
407910611,10 W MAIN ST NEW HAMPTON IA 50659,X,0,0,0,0,0,0,1,0
144844180,10 W SOUTHRIDGE RD MARSHALLTOWN IA 50158,X,0,0,0,0,0,0,1,0
572428662,10-12 MAYWOOD SQUARE MALL MILFORD IA 51351,X,0,0,0,0,0,0,1,0
