town,time,cal_year,downtown_jobs,treated,treated_yr,cz,match,match_treat_yr,townid
Clear Lake,0,2004,801,0,0,304,Mason City,2004,S45
Clear Lake,1,2005,885,0,0,304,Mason City,2004,S45
Clear Lake,2,2006,1014,0,0,304,Mason City,2004,S45
Clear Lake,3,2007,856,0,0,304,Mason City,2004,S45
Clear Lake,4,2008,834,0,0,304,Mason City,2004,S45
Clear Lake,5,2009,879,0,0,304,Mason City,2004,S45
Colfax,-3,1999,222,1,2009,455,Marshalltown,2002,S47
Colfax,-2,2000,221,1,2009,455,Marshalltown,2002,S47
Colfax,-1,2001,237,1,2009,455,Marshalltown,2002,S47
Colfax,0,2002,209,1,2009,455,Marshalltown,2002,S47
Colfax,1,2003,225,1,2009,455,Marshalltown,2002,S47
Colfax,2,2004,229,1,2009,455,Marshalltown,2002,S47
Colfax,3,2005,257,1,2009,455,Marshalltown,2002,S47
Colfax,4,2006,270,1,2009,455,Marshalltown,2002,S47
Colfax,5,2007,248,1,2009,455,Marshalltown,2002,S47
Colfax,-3,1997,198,1,2009,455,State Center,2000,S49
Colfax,-2,1998,219,1,2009,455,State Center,2000,S49
Colfax,-1,1999,222,1,2009,455,State Center,2000,S49
Colfax,0,2000,221,1,2009,455,State Center,2000,S49
Colfax,1,2001,237,1,2009,455,State Center,2000,S49
Colfax,2,2002,209,1,2009,455,State Center,2000,S49
Colfax,3,2003,225,1,2009,455,State Center,2000,S49
Colfax,4,2004,229,1,2009,455,State Center,2000,S49
Colfax,5,2005,257,1,2009,455,State Center,2000,S49
Coon Rapids,-3,2009,526,0,0,621,Jefferson,2012,S50
Coon Rapids,-2,2010,516,0,0,621,Jefferson,2012,S50
Coon Rapids,-1,2011,520,0,0,621,Jefferson,2012,S50
Coon Rapids,0,2012,517,0,0,621,Jefferson,2012,S50
Coon Rapids,1,2013,513,0,0,621,Jefferson,2012,S50
Coon Rapids,2,2014,511,0,0,621,Jefferson,2012,S50
Coon Rapids,3,2015,478,0,0,621,Jefferson,2012,S50
Coon Rapids,4,2016,446,0,0,621,Jefferson,2012,S50
Coon Rapids,5,2017,441,0,0,621,Jefferson,2012,S50
Coon Rapids,-3,2006,514,0,0,621,Manning,2009,S51
Coon Rapids,-2,2007,497,0,0,621,Manning,2009,S51
Coon Rapids,-1,2008,536,0,0,621,Manning,2009,S51
Coon Rapids,0,2009,526,0,0,621,Manning,2009,S51
Coon Rapids,1,2010,516,0,0,621,Manning,2009,S51
Coon Rapids,2,2011,520,0,0,621,Manning,2009,S51
Coon Rapids,3,2012,517,0,0,621,Manning,2009,S51
Coon Rapids,4,2013,513,0,0,621,Manning,2009,S51
Coon Rapids,5,2014,511,0,0,621,Manning,2009,S51
Corydon,-3,2009,479,0,0,526,Chariton,2012,S54
Corydon,-2,2010,488,0,0,526,Chariton,2012,S54
Corydon,-1,2011,459,0,0,526,Chariton,2012,S54
Corydon,0,2012,509,0,0,526,Chariton,2012,S54
Corydon,1,2013,520,0,0,526,Chariton,2012,S54
Corydon,2,2014,503,0,0,526,Chariton,2012,S54
Corydon,3,2015,494,0,0,526,Chariton,2012,S54
Corydon,4,2016,507,0,0,526,Chariton,2012,S54
Corydon,5,2017,479,0,0,526,Chariton,2012,S54
Eldon,-3,2003,93,0,0,393,Ottumwa,2006,S66
Eldon,-2,2004,92,0,0,393,Ottumwa,2006,S66
Eldon,-1,2005,99,0,0,393,Ottumwa,2006,S66
Eldon,0,2006,24,0,0,393,Ottumwa,2006,S66
Eldon,1,2007,100,0,0,393,Ottumwa,2006,S66
Eldon,2,2008,105,0,0,393,Ottumwa,2006,S66
Eldon,3,2009,100,0,0,393,Ottumwa,2006,S66
Eldon,4,2010,95,0,0,393,Ottumwa,2006,S66
Eldon,5,2011,106,0,0,393,Ottumwa,2006,S66
Elkader,-3,2009,621,1,1991,470,Lansing,2012,S70
Elkader,-2,2010,667,1,1991,470,Lansing,2012,S70
Elkader,-1,2011,557,1,1991,470,Lansing,2012,S70
Elkader,0,2012,571,1,1991,470,Lansing,2012,S70
Elkader,1,2013,554,1,1991,470,Lansing,2012,S70
Elkader,2,2014,577,1,1991,470,Lansing,2012,S70
Elkader,3,2015,563,1,1991,470,Lansing,2012,S70
Elkader,4,2016,624,1,1991,470,Lansing,2012,S70
Elkader,5,2017,626,1,1991,470,Lansing,2012,S70
Fayette,-3,2003,166,0,0,230,West Union,2006,S75
Fayette,-2,2004,163,0,0,230,West Union,2006,S75
Fayette,-1,2005,170,0,0,230,West Union,2006,S75
Fayette,0,2006,174,0,0,230,West Union,2006,S75
Fayette,1,2007,202,0,0,230,West Union,2006,S75
Fayette,2,2008,189,0,0,230,West Union,2006,S75
Fayette,3,2009,174,0,0,230,West Union,2006,S75
Fayette,4,2010,173,0,0,230,West Union,2006,S75
Fayette,5,2011,164,0,0,230,West Union,2006,S75
Forest City,-3,2001,717,0,0,304,Mason City,2004,S76
Forest City,-2,2002,780,0,0,304,Mason City,2004,S76
Forest City,-1,2003,973,0,0,304,Mason City,2004,S76
Forest City,0,2004,931,0,0,304,Mason City,2004,S76
Forest City,1,2005,875,0,0,304,Mason City,2004,S76
Forest City,2,2006,943,0,0,304,Mason City,2004,S76
Forest City,3,2007,906,0,0,304,Mason City,2004,S76
Forest City,4,2008,932,0,0,304,Mason City,2004,S76
Forest City,5,2009,944,0,0,304,Mason City,2004,S76
Fort Madison,-3,1999,1774,1,2009,192,Mount Pleasant,2002,S81
Fort Madison,-2,2000,1702,1,2009,192,Mount Pleasant,2002,S81
Fort Madison,-1,2001,1282,1,2009,192,Mount Pleasant,2002,S81
Fort Madison,0,2002,1249,1,2009,192,Mount Pleasant,2002,S81
Fort Madison,1,2003,1869,1,2009,192,Mount Pleasant,2002,S81
Fort Madison,2,2004,1826,1,2009,192,Mount Pleasant,2002,S81
Fort Madison,3,2005,1833,1,2009,192,Mount Pleasant,2002,S81
Fort Madison,4,2006,1479,1,2009,192,Mount Pleasant,2002,S81
Fort Madison,5,2007,1071,1,2009,192,Mount Pleasant,2002,S81
Garner,-3,2001,364,0,0,304,Mason City,2004,S82
Garner,-2,2002,367,0,0,304,Mason City,2004,S82
Garner,-1,2003,573,0,0,304,Mason City,2004,S82
Garner,0,2004,586,0,0,304,Mason City,2004,S82
Garner,1,2005,588,0,0,304,Mason City,2004,S82
Garner,2,2006,579,0,0,304,Mason City,2004,S82
Garner,3,2007,647,0,0,304,Mason City,2004,S82
Garner,4,2008,601,0,0,304,Mason City,2004,S82
Garner,5,2009,720,0,0,304,Mason City,2004,S82
Grand Junction,-3,2009,60,0,0,621,Jefferson,2012,S84
Grand Junction,-2,2010,20,0,0,621,Jefferson,2012,S84
Grand Junction,-1,2011,54,0,0,621,Jefferson,2012,S84
Grand Junction,0,2012,58,0,0,621,Jefferson,2012,S84
Grand Junction,1,2013,21,0,0,621,Jefferson,2012,S84
Grand Junction,2,2014,55,0,0,621,Jefferson,2012,S84
Grand Junction,3,2015,59,0,0,621,Jefferson,2012,S84
Grand Junction,4,2016,39,0,0,621,Jefferson,2012,S84
Grand Junction,5,2017,39,0,0,621,Jefferson,2012,S84
Grand Junction,-3,2006,21,0,0,621,Manning,2009,S85
Grand Junction,-2,2007,31,0,0,621,Manning,2009,S85
Grand Junction,-1,2008,45,0,0,621,Manning,2009,S85
Grand Junction,0,2009,60,0,0,621,Manning,2009,S85
Grand Junction,1,2010,20,0,0,621,Manning,2009,S85
Grand Junction,2,2011,54,0,0,621,Manning,2009,S85
Grand Junction,3,2012,58,0,0,621,Manning,2009,S85
Grand Junction,4,2013,21,0,0,621,Manning,2009,S85
Grand Junction,5,2014,55,0,0,621,Manning,2009,S85
Greene,-3,2003,174,0,0,230,West Union,2006,S88
Greene,-2,2004,174,0,0,230,West Union,2006,S88
Greene,-1,2005,173,0,0,230,West Union,2006,S88
Greene,0,2006,195,0,0,230,West Union,2006,S88
Greene,1,2007,203,0,0,230,West Union,2006,S88
Greene,2,2008,240,0,0,230,West Union,2006,S88
Greene,3,2009,209,0,0,230,West Union,2006,S88
Greene,4,2010,217,0,0,230,West Union,2006,S88
Greene,5,2011,171,0,0,230,West Union,2006,S88
Greenfield,-3,1997,433,1,1995,15,Story City,2000,S90
Greenfield,-2,1998,331,1,1995,15,Story City,2000,S90
Greenfield,-1,1999,372,1,1995,15,Story City,2000,S90
Greenfield,0,2000,377,1,1995,15,Story City,2000,S90
Greenfield,1,2001,407,1,1995,15,Story City,2000,S90
Greenfield,2,2002,356,1,1995,15,Story City,2000,S90
Greenfield,3,2003,512,1,1995,15,Story City,2000,S90
Greenfield,4,2004,456,1,1995,15,Story City,2000,S90
Greenfield,5,2005,454,1,1995,15,Story City,2000,S90
Grinnell,-3,2006,2225,0,0,455,Colfax,2009,S91
Grinnell,-2,2007,1968,0,0,455,Colfax,2009,S91
Grinnell,-1,2008,2751,0,0,455,Colfax,2009,S91
Grinnell,0,2009,2722,0,0,455,Colfax,2009,S91
Grinnell,1,2010,2705,0,0,455,Colfax,2009,S91
Grinnell,2,2011,2169,0,0,455,Colfax,2009,S91
Grinnell,3,2012,2240,0,0,455,Colfax,2009,S91
Grinnell,4,2013,1646,0,0,455,Colfax,2009,S91
Grinnell,5,2014,1718,0,0,455,Colfax,2009,S91
Grinnell,-3,1999,1168,0,0,455,Marshalltown,2002,S92
Grinnell,-2,2000,1163,0,0,455,Marshalltown,2002,S92
Grinnell,-1,2001,1107,0,0,455,Marshalltown,2002,S92
Grinnell,0,2002,1128,0,0,455,Marshalltown,2002,S92
Grinnell,1,2003,1354,0,0,455,Marshalltown,2002,S92
Grinnell,2,2004,1474,0,0,455,Marshalltown,2002,S92
Grinnell,3,2005,1507,0,0,455,Marshalltown,2002,S92
Grinnell,4,2006,2225,0,0,455,Marshalltown,2002,S92
Grinnell,5,2007,1968,0,0,455,Marshalltown,2002,S92
Grinnell,-3,1997,2009,0,0,455,State Center,2000,S94
Grinnell,-2,1998,1320,0,0,455,State Center,2000,S94
Grinnell,-1,1999,1168,0,0,455,State Center,2000,S94
Grinnell,0,2000,1163,0,0,455,State Center,2000,S94
Grinnell,1,2001,1107,0,0,455,State Center,2000,S94
Grinnell,2,2002,1128,0,0,455,State Center,2000,S94
Grinnell,3,2003,1354,0,0,455,State Center,2000,S94
Grinnell,4,2004,1474,0,0,455,State Center,2000,S94
Grinnell,5,2005,1507,0,0,455,State Center,2000,S94
Grundy Center,-3,2003,539,1,2015,230,West Union,2006,S97
Grundy Center,-2,2004,559,1,2015,230,West Union,2006,S97
Grundy Center,-1,2005,585,1,2015,230,West Union,2006,S97
Grundy Center,0,2006,590,1,2015,230,West Union,2006,S97
Grundy Center,1,2007,578,1,2015,230,West Union,2006,S97
Grundy Center,2,2008,583,1,2015,230,West Union,2006,S97
Grundy Center,3,2009,595,1,2015,230,West Union,2006,S97
Grundy Center,4,2010,604,1,2015,230,West Union,2006,S97
Grundy Center,5,2011,633,1,2015,230,West Union,2006,S97
Guttenberg,-3,2009,329,0,0,470,Lansing,2012,S99
Guttenberg,-2,2010,278,0,0,470,Lansing,2012,S99
Guttenberg,-1,2011,206,0,0,470,Lansing,2012,S99
Guttenberg,0,2012,263,0,0,470,Lansing,2012,S99
Guttenberg,1,2013,398,0,0,470,Lansing,2012,S99
Guttenberg,2,2014,252,0,0,470,Lansing,2012,S99
Guttenberg,3,2015,258,0,0,470,Lansing,2012,S99
Guttenberg,4,2016,258,0,0,470,Lansing,2012,S99
Guttenberg,5,2017,250,0,0,470,Lansing,2012,S99
Independence,-3,2003,1092,0,0,230,West Union,2006,S107
Independence,-2,2004,1066,0,0,230,West Union,2006,S107
Independence,-1,2005,1071,0,0,230,West Union,2006,S107
Independence,0,2006,1124,0,0,230,West Union,2006,S107
Independence,1,2007,1128,0,0,230,West Union,2006,S107
Independence,2,2008,1116,0,0,230,West Union,2006,S107
Independence,3,2009,1058,0,0,230,West Union,2006,S107
Independence,4,2010,1026,0,0,230,West Union,2006,S107
Independence,5,2011,979,0,0,230,West Union,2006,S107
Jefferson,-3,2006,1039,1,2012,621,Manning,2009,S111
Jefferson,-2,2007,1106,1,2012,621,Manning,2009,S111
Jefferson,-1,2008,1041,1,2012,621,Manning,2009,S111
Jefferson,0,2009,1039,1,2012,621,Manning,2009,S111
Jefferson,1,2010,972,1,2012,621,Manning,2009,S111
Jefferson,2,2011,1033,1,2012,621,Manning,2009,S111
Jefferson,3,2012,1043,1,2012,621,Manning,2009,S111
Jefferson,4,2013,1163,1,2012,621,Manning,2009,S111
Jefferson,5,2014,1091,1,2012,621,Manning,2009,S111
Keokuk,-3,2006,1639,1,1986,192,Fort Madison,2009,S114
Keokuk,-2,2007,1614,1,1986,192,Fort Madison,2009,S114
Keokuk,-1,2008,1606,1,1986,192,Fort Madison,2009,S114
Keokuk,0,2009,1551,1,1986,192,Fort Madison,2009,S114
Keokuk,1,2010,1613,1,1986,192,Fort Madison,2009,S114
Keokuk,2,2011,1478,1,1986,192,Fort Madison,2009,S114
Keokuk,3,2012,1633,1,1986,192,Fort Madison,2009,S114
Keokuk,4,2013,2067,1,1986,192,Fort Madison,2009,S114
Keokuk,5,2014,1517,1,1986,192,Fort Madison,2009,S114
Keokuk,-3,1999,1680,1,1986,192,Mount Pleasant,2002,S116
Keokuk,-2,2000,1672,1,1986,192,Mount Pleasant,2002,S116
Keokuk,-1,2001,1635,1,1986,192,Mount Pleasant,2002,S116
Keokuk,0,2002,1383,1,1986,192,Mount Pleasant,2002,S116
Keokuk,1,2003,1846,1,1986,192,Mount Pleasant,2002,S116
Keokuk,2,2004,1703,1,1986,192,Mount Pleasant,2002,S116
Keokuk,3,2005,1722,1,1986,192,Mount Pleasant,2002,S116
Keokuk,4,2006,1639,1,1986,192,Mount Pleasant,2002,S116
Keokuk,5,2007,1614,1,1986,192,Mount Pleasant,2002,S116
Keota,-3,2003,203,0,0,393,Ottumwa,2006,S120
Keota,-2,2004,212,0,0,393,Ottumwa,2006,S120
Keota,-1,2005,211,0,0,393,Ottumwa,2006,S120
Keota,0,2006,188,0,0,393,Ottumwa,2006,S120
Keota,1,2007,213,0,0,393,Ottumwa,2006,S120
Keota,2,2008,230,0,0,393,Ottumwa,2006,S120
Keota,3,2009,242,0,0,393,Ottumwa,2006,S120
Keota,4,2010,162,0,0,393,Ottumwa,2006,S120
Keota,5,2011,148,0,0,393,Ottumwa,2006,S120
Knoxville,-3,2003,978,0,0,393,Ottumwa,2006,S125
Knoxville,-2,2004,893,0,0,393,Ottumwa,2006,S125
Knoxville,-1,2005,954,0,0,393,Ottumwa,2006,S125
Knoxville,0,2006,888,0,0,393,Ottumwa,2006,S125
Knoxville,1,2007,948,0,0,393,Ottumwa,2006,S125
Knoxville,2,2008,977,0,0,393,Ottumwa,2006,S125
Knoxville,3,2009,984,0,0,393,Ottumwa,2006,S125
Knoxville,4,2010,948,0,0,393,Ottumwa,2006,S125
Knoxville,5,2011,934,0,0,393,Ottumwa,2006,S125
La Porte City,-3,2003,330,0,0,230,West Union,2006,S128
La Porte City,-2,2004,321,0,0,230,West Union,2006,S128
La Porte City,-1,2005,336,0,0,230,West Union,2006,S128
La Porte City,0,2006,3631,0,0,230,West Union,2006,S128
La Porte City,1,2007,3659,0,0,230,West Union,2006,S128
La Porte City,2,2008,3671,0,0,230,West Union,2006,S128
La Porte City,3,2009,330,0,0,230,West Union,2006,S128
La Porte City,4,2010,307,0,0,230,West Union,2006,S128
La Porte City,5,2011,275,0,0,230,West Union,2006,S128
Lake Mills,-3,2001,558,0,0,304,Mason City,2004,S130
Lake Mills,-2,2002,583,0,0,304,Mason City,2004,S130
Lake Mills,-1,2003,664,0,0,304,Mason City,2004,S130
Lake Mills,0,2004,653,0,0,304,Mason City,2004,S130
Lake Mills,1,2005,648,0,0,304,Mason City,2004,S130
Lake Mills,2,2006,648,0,0,304,Mason City,2004,S130
Lake Mills,3,2007,673,0,0,304,Mason City,2004,S130
Lake Mills,4,2008,710,0,0,304,Mason City,2004,S130
Lake Mills,5,2009,727,0,0,304,Mason City,2004,S130
Lamoni,-3,2009,187,0,0,526,Chariton,2012,S132
Lamoni,-2,2010,206,0,0,526,Chariton,2012,S132
Lamoni,-1,2011,227,0,0,526,Chariton,2012,S132
Lamoni,0,2012,238,0,0,526,Chariton,2012,S132
Lamoni,1,2013,427,0,0,526,Chariton,2012,S132
Lamoni,2,2014,223,0,0,526,Chariton,2012,S132
Lamoni,3,2015,254,0,0,526,Chariton,2012,S132
Lamoni,4,2016,244,0,0,526,Chariton,2012,S132
Lamoni,5,2017,215,0,0,526,Chariton,2012,S132
Leon,-3,2009,296,0,0,526,Chariton,2012,S139
Leon,-2,2010,307,0,0,526,Chariton,2012,S139
Leon,-1,2011,298,0,0,526,Chariton,2012,S139
Leon,0,2012,295,0,0,526,Chariton,2012,S139
Leon,1,2013,331,0,0,526,Chariton,2012,S139
Leon,2,2014,345,0,0,526,Chariton,2012,S139
Leon,3,2015,309,0,0,526,Chariton,2012,S139
Leon,4,2016,307,0,0,526,Chariton,2012,S139
Leon,5,2017,493,0,0,526,Chariton,2012,S139
Madrid,-3,1997,265,0,0,15,Story City,2000,S142
Madrid,-2,1998,234,0,0,15,Story City,2000,S142
Madrid,-1,1999,193,0,0,15,Story City,2000,S142
Madrid,0,2000,198,0,0,15,Story City,2000,S142
Madrid,1,2001,196,0,0,15,Story City,2000,S142
Madrid,2,2002,209,0,0,15,Story City,2000,S142
Madrid,3,2003,187,0,0,15,Story City,2000,S142
Madrid,4,2004,197,0,0,15,Story City,2000,S142
Madrid,5,2005,194,0,0,15,Story City,2000,S142
Manly,-3,2001,3,0,0,304,Mason City,2004,S144
Manly,-2,2002,3,0,0,304,Mason City,2004,S144
Manly,-1,2003,83,0,0,304,Mason City,2004,S144
Manly,0,2004,77,0,0,304,Mason City,2004,S144
Manly,1,2005,81,0,0,304,Mason City,2004,S144
Manly,2,2006,80,0,0,304,Mason City,2004,S144
Manly,3,2007,59,0,0,304,Mason City,2004,S144
Manly,4,2008,42,0,0,304,Mason City,2004,S144
Manly,5,2009,47,0,0,304,Mason City,2004,S144
Manning,-3,2009,531,1,2009,621,Jefferson,2012,S145
Manning,-2,2010,507,1,2009,621,Jefferson,2012,S145
Manning,-1,2011,497,1,2009,621,Jefferson,2012,S145
Manning,0,2012,510,1,2009,621,Jefferson,2012,S145
Manning,1,2013,528,1,2009,621,Jefferson,2012,S145
Manning,2,2014,345,1,2009,621,Jefferson,2012,S145
Manning,3,2015,333,1,2009,621,Jefferson,2012,S145
Manning,4,2016,331,1,2009,621,Jefferson,2012,S145
Manning,5,2017,330,1,2009,621,Jefferson,2012,S145
Marengo,-3,2005,817,0,0,161,Washington,2008,S150
Marengo,-2,2006,800,0,0,161,Washington,2008,S150
Marengo,-1,2007,780,0,0,161,Washington,2008,S150
Marengo,0,2008,775,0,0,161,Washington,2008,S150
Marengo,1,2009,780,0,0,161,Washington,2008,S150
Marengo,2,2010,752,0,0,161,Washington,2008,S150
Marengo,3,2011,604,0,0,161,Washington,2008,S150
Marengo,4,2012,665,0,0,161,Washington,2008,S150
Marengo,5,2013,675,0,0,161,Washington,2008,S150
Marshalltown,-3,2006,6861,1,2002,455,Colfax,2009,S151
Marshalltown,-2,2007,6878,1,2002,455,Colfax,2009,S151
Marshalltown,-1,2008,6935,1,2002,455,Colfax,2009,S151
Marshalltown,0,2009,6654,1,2002,455,Colfax,2009,S151
Marshalltown,1,2010,5746,1,2002,455,Colfax,2009,S151
Marshalltown,2,2011,7126,1,2002,455,Colfax,2009,S151
Marshalltown,3,2012,6350,1,2002,455,Colfax,2009,S151
Marshalltown,4,2013,6341,1,2002,455,Colfax,2009,S151
Marshalltown,5,2014,6203,1,2002,455,Colfax,2009,S151
Marshalltown,-3,1997,6345,1,2002,455,State Center,2000,S154
Marshalltown,-2,1998,3298,1,2002,455,State Center,2000,S154
Marshalltown,-1,1999,3159,1,2002,455,State Center,2000,S154
Marshalltown,0,2000,3578,1,2002,455,State Center,2000,S154
Marshalltown,1,2001,3816,1,2002,455,State Center,2000,S154
Marshalltown,2,2002,4579,1,2002,455,State Center,2000,S154
