NAME,ST,stabbr,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Swan,Iowa,ia,72,121,76,102,56,168,194,217,220,238,292,406
Swea City,Iowa,ia,536,642,634,813,774,805,869,735,695,691,402,322
Swisher,Iowa,ia,879,813,645,654,417,271,205,93,0,0,0,0
Tabor,Iowa,ia,1040,993,957,1088,957,909,869,976,1017,1186,909,934
Tama,Iowa,ia,2877,2731,2697,2968,3000,2925,2930,2832,2626,2601,2290,2649
Templeton,Iowa,ia,362,334,321,319,312,354,385,390,428,373,278,321
Tennant,Iowa,ia,68,73,78,77,93,95,95,109,118,79,0,0
Terril,Iowa,ia,367,404,383,420,397,382,425,452,416,440,253,217
Thayer,Iowa,ia,59,66,79,87,100,101,152,157,164,260,198,394
Thompson,Iowa,ia,502,596,498,668,600,689,698,664,538,548,500,450
Thor,Iowa,ia,186,174,205,200,212,234,271,264,257,285,271,274
Thornburg,Iowa,ia,67,84,91,103,98,101,138,184,171,197,233,267
Thornton,Iowa,ia,422,422,431,442,410,449,441,398,383,317,271,299
Thurman,Iowa,ia,229,236,239,221,230,268,284,325,388,341,336,409
Tiffin,Iowa,ia,1947,975,460,413,299,311,256,240,206,178,176,0
Tingley,Iowa,ia,184,171,179,210,244,278,333,390,358,391,380,488
Tipton,Iowa,ia,3221,3155,2998,3055,2877,2862,2633,2518,2145,2142,2048,2513
Titonka,Iowa,ia,476,584,612,607,599,647,589,574,473,418,278,224
Toledo,Iowa,ia,2341,2539,2380,2445,2361,2850,2106,2073,1825,1604,1626,1941
Toronto,Iowa,ia,124,134,132,172,145,144,165,142,113,139,106,0
Traer,Iowa,ia,1703,1594,1552,1703,1682,1623,1627,1493,1417,1329,1283,1458
Treynor,Iowa,ia,919,950,897,981,472,368,247,219,232,204,122,0
Tripoli,Iowa,ia,1313,1310,1188,1280,1345,1179,1124,1001,891,914,755,655
Truesdale,Iowa,ia,81,91,132,128,132,153,158,135,116,113,0,0
Truro,Iowa,ia,485,427,391,407,359,338,354,353,361,332,310,0
Turin,Iowa,ia,68,75,95,103,115,163,160,184,167,158,164,0
Udell,Iowa,ia,47,58,76,75,71,76,96,137,151,214,186,0
Underwood,Iowa,ia,917,688,515,448,424,337,278,251,261,260,271,0
Union,Iowa,ia,397,427,448,515,484,534,490,585,498,660,540,589
Unionville,Iowa,ia,102,127,133,150,161,185,204,253,221,0,0,0
University Heights,Iowa,ia,1051,987,1042,1069,1265,841,446,261,0,0,0,0
University Park,Iowa,ia,487,536,604,645,534,569,457,462,443,361,0,0
Urbana,Iowa,ia,1458,1019,595,574,552,544,414,397,354,477,306,323
Urbandale,Iowa,ia,39463,29072,23500,17869,14434,5821,1777,1083,596,298,0,0
Ute,Iowa,ia,374,378,395,479,512,511,563,581,616,580,490,407
Vail,Iowa,ia,436,452,388,490,486,473,532,576,622,635,631,578
Valeria,Iowa,ia,57,62,69,80,96,76,57,79,57,70,0,0
Van Horne,Iowa,ia,682,716,695,682,613,554,511,551,527,524,444,484
Van Meter,Iowa,ia,1016,866,751,747,464,385,364,436,400,358,386,407
Van Wert,Iowa,ia,230,231,249,245,244,253,318,383,369,463,461,306
Varina,Iowa,ia,71,90,102,122,140,162,144,220,184,235,183,0
Ventura,Iowa,ia,717,670,590,614,543,0,0,0,0,0,0,0
Victor,Iowa,ia,893,952,966,1046,949,870,741,763,794,802,640,612
Villisca,Iowa,ia,1252,1344,1332,1434,1402,1690,1838,2011,2032,2111,2039,2211
Vincent,Iowa,ia,174,158,185,207,204,173,193,192,194,182,215,163
Vining,Iowa,ia,50,70,78,96,71,122,112,126,163,153,0,0
Vinton,Iowa,ia,5257,5102,5103,5040,4845,4781,4307,4163,3372,3381,3336,3499
Volga,Iowa,ia,208,247,306,310,305,361,423,429,417,415,416,163
Wadena,Iowa,ia,262,243,236,230,237,275,316,377,312,318,253,170
Wahpeton,Iowa,ia,341,462,484,372,149,117,127,73,0,0,0,0
Walcott,Iowa,ia,1629,1528,1356,1425,989,654,480,440,398,384,416,362
Walford,Iowa,ia,1463,1224,303,285,286,264,0,0,0,0,0,0
Walker,Iowa,ia,791,750,673,733,622,584,549,462,456,464,517,505
Wall Lake,Iowa,ia,819,841,875,892,936,812,753,762,749,737,561,659
Wallingford,Iowa,ia,197,210,196,256,245,228,229,233,225,197,0,0
Walnut,Iowa,ia,785,778,857,897,870,777,888,902,935,1072,950,878
Wapello,Iowa,ia,2067,2124,2013,2011,1873,1745,1755,1603,1502,1480,1326,1398
Washington,Iowa,ia,7266,7047,7074,6584,6317,6037,5902,5227,4814,4697,4380,4255
Washta,Iowa,ia,248,282,284,320,319,310,403,442,448,508,410,431
Waterloo,Iowa,ia,68406,68747,66467,75985,75533,71755,65198,51743,46191,36230,26693,12580
Waterville,Iowa,ia,144,145,140,157,158,184,199,253,222,183,0,0
Waucoma,Iowa,ia,257,299,277,308,357,364,385,430,425,457,433,540
Waukee,Iowa,ia,13790,5126,2512,2227,1577,687,501,473,445,375,340,292
Waukon,Iowa,ia,3897,4131,4019,3983,3883,3639,3158,2972,2526,2359,2025,2153
Waverly,Iowa,ia,9874,8968,8539,8444,7205,6357,5124,4156,3652,3352,3205,3177
Wayland,Iowa,ia,966,945,838,720,702,597,600,576,625,637,550,394
Webb,Iowa,ia,141,165,167,222,234,236,235,254,240,219,150,0
Webster,Iowa,ia,88,110,103,124,130,137,136,165,173,172,127,0
Webster City,Iowa,ia,8070,8176,7894,8572,8488,8520,7611,6738,7024,5657,5208,4613
Weldon,Iowa,ia,125,145,151,187,155,202,229,250,298,323,308,0
Wellman,Iowa,ia,1408,1393,1085,1125,977,1085,1071,1129,853,875,724,654
Wellsburg,Iowa,ia,707,716,682,761,754,827,744,616,508,482,288,203
Welton,Iowa,ia,165,159,177,119,104,88,93,100,80,69,69,0
Wesley,Iowa,ia,390,467,444,598,548,514,509,468,462,444,457,730
West Bend,Iowa,ia,785,834,862,941,865,910,772,737,634,969,679,538
West Branch,Iowa,ia,2322,2188,1908,1867,1322,1053,769,719,652,688,643,647
West Burlington,Iowa,ia,2968,3161,3083,3371,3139,2560,1614,1323,1333,1212,1206,1044
West Chester,Iowa,ia,146,159,178,191,199,253,218,213,223,225,222,209
West Des Moines,Iowa,ia,56609,46403,31702,21894,16441,11949,5615,4252,4280,3631,2573,1700
West Liberty,Iowa,ia,3736,3332,2935,2723,2296,2042,1866,1802,1679,1834,1666,1690
West Okoboji,Iowa,ia,289,432,263,435,210,171,158,117,112,0,0,0
West Point,Iowa,ia,966,980,1079,1132,1045,758,662,543,536,591,570,654
West Union,Iowa,ia,2486,2549,2490,2783,2624,2551,2141,2059,2056,1777,1652,1935
Westfield,Iowa,ia,132,189,160,199,148,187,172,197,218,203,143,0
Westgate,Iowa,ia,211,234,207,263,204,214,226,247,268,255,232,260
Westphalia,Iowa,ia,127,160,144,169,121,131,160,126,118,115,0,0
Westside,Iowa,ia,299,327,348,387,389,367,393,373,341,405,367,396
Westwood,Iowa,ia,112,127,104,0,0,0,0,0,0,0,0,0
What Cheer,Iowa,ia,646,678,762,803,868,956,1119,1339,1310,1626,1720,2746
Wheatland,Iowa,ia,764,772,723,840,832,643,568,535,539,549,539,475
Whiting,Iowa,ia,762,707,683,734,590,595,663,688,627,625,576,572
Whittemore,Iowa,ia,504,530,535,647,658,741,678,671,604,618,518,522
Whitten,Iowa,ia,149,160,137,168,194,184,174,227,199,225,219,217
Willey,Iowa,ia,88,103,78,94,72,80,94,86,93,176,0,0
Williams,Iowa,ia,344,427,368,410,456,490,519,489,500,495,457,500
Williamsburg,Iowa,ia,3068,2622,2174,2033,1544,1342,1183,1308,1219,1251,1060,1100
Williamson,Iowa,ia,152,163,166,210,216,262,294,616,814,0,0,0
Wilton,Iowa,ia,2802,2829,2577,2502,1873,1750,1446,1146,1104,1178,1157,1233
Windsor Heights,Iowa,ia,4860,4805,5190,5474,6303,4715,1414,0,0,0,0,0
Winfield,Iowa,ia,1134,1131,1051,1042,897,862,888,864,933,1027,934,820
Winterset,Iowa,ia,5190,4768,4196,4021,3654,3639,3570,3631,2921,2906,2818,3039
Winthrop,Iowa,ia,850,772,742,767,750,649,604,546,496,507,529,618
Wiota,Iowa,ia,116,149,160,181,171,195,227,246,225,199,239,218
Woden,Iowa,ia,229,243,259,287,265,283,272,305,258,188,162,0
Woodbine,Iowa,ia,1459,1564,1500,1463,1349,1304,1304,1467,1348,1463,1538,1255
Woodburn,Iowa,ia,202,244,240,207,186,202,255,324,305,375,420,467
Woodward,Iowa,ia,1024,1200,1197,1212,1010,967,908,895,901,868,712,550
Woolstock,Iowa,ia,168,204,212,235,222,269,255,271,317,294,264,274
Worthington,Iowa,ia,401,381,439,432,365,360,337,326,335,341,314,288
Wyoming,Iowa,ia,515,626,659,702,746,797,724,656,634,690,733,794
Yale,Iowa,ia,246,287,220,299,301,260,293,287,304,276,273,0
Yetter,Iowa,ia,34,36,49,52,52,85,121,135,114,125,107,0
Yorktown,Iowa,ia,85,82,100,123,105,150,146,197,217,193,228,170
Zearing,Iowa,ia,554,617,614,630,535,528,514,476,475,471,461,388
Zwingle,Iowa,ia,91,100,94,119,96,110,132,118,145,124,69,0
Abbot,Maine,me,714,630,677,576,453,404,462,466,525,572,705,716
Acton,Maine,me,2447,2145,1727,1228,697,501,473,392,449,499,603,778
Addison,Maine,me,1266,1209,1114,1061,773,744,846,805,867,838,985,1059
Albion,Maine,me,2041,1946,1736,1551,1056,974,992,974,923,900,922,878
Alexander,Maine,me,499,514,478,385,169,220,282,292,312,371,374,333
Alfred,Maine,me,3019,2497,2238,1890,1211,1201,1112,1039,883,738,890,937
Allagash,Maine,me,239,277,359,448,456,557,680,644,438,359,245,190
Alna,Maine,me,709,675,571,425,315,347,350,339,294,320,457,444
Alton,Maine,me,890,816,771,468,340,303,314,286,209,209,259,314
Amherst,Maine,me,265,230,226,203,148,168,151,146,163,198,275,364
Amity,Maine,me,238,199,186,168,156,206,300,345,324,393,375,404
Andover,Maine,me,821,864,953,850,791,762,756,757,788,767,757,727
Anson,Maine,me,2511,2583,2382,2226,2168,2252,2199,2130,2238,2593,2209,1830
Appleton,Maine,me,1316,1271,1069,818,628,672,671,641,574,683,842,975
Argyle,Maine,me,277,253,202,225,155,128,133,128,120,170,233,320
Arrowsic,Maine,me,427,477,498,305,188,177,172,167,135,176,147,180
Arundel,Maine,me,4022,3571,2669,2150,1322,907,939,866,545,0,0,0
Ashland,Maine,me,1302,1474,1542,1865,1761,1980,2370,2457,2198,2391,2173,1080
Athens,Maine,me,1019,847,897,802,592,602,725,742,760,766,914,896
Atkinson,Maine,me,326,323,332,306,213,280,400,312,394,456,528,495
Auburn,Maine,me,23055,23203,24039,23128,24151,24449,23134,19817,18571,16985,15064,12951
Augusta,Maine,me,19136,18560,21325,21819,21945,21680,20913,19360,17198,14114,13211,11683
Aurora,Maine,me,114,121,82,110,72,75,91,81,86,95,114,152
Avon,Maine,me,461,504,559,475,495,436,391,387,302,384,380,448
Baileyville,Maine,me,1521,1686,2031,2188,2167,1863,1821,2018,2017,2243,1137,215
Baldwin,Maine,me,1525,1290,1219,1140,878,773,725,721,694,700,791,821
Bancroft,Maine,me,68,61,66,61,53,94,165,216,245,315,344,318
Bangor,Maine,me,33039,31473,33181,31643,33168,38912,31558,29822,28749,25978,24803,21850
Bar Harbor,Maine,me,5235,4820,4443,4124,3716,3807,3864,4378,4486,3622,4441,4379
Baring,Maine,me,251,273,275,308,181,0,157,190,204,227,228,231
Bath,Maine,me,8514,9266,9799,10246,9679,10717,10644,10235,9110,14731,9396,10477
Beals,Maine,me,508,618,667,695,663,640,590,513,524,0,0,0
Beaver Cove,Maine,me,122,91,104,56,0,0,0,0,0,0,0,0
Beddington,Maine,me,50,29,43,36,32,14,26,31,35,40,58,86
Belfast,Maine,me,6668,6381,6355,6243,5957,6140,5960,5540,4993,5083,4618,4615
Belgrade,Maine,me,3189,2978,2375,2043,1302,1102,1099,1046,978,957,1037,1058
Belmont,Maine,me,942,821,652,520,349,295,258,213,227,250,335,352
Benton,Maine,me,2732,2557,2312,2188,1729,1521,1421,1290,1156,1108,1194,1097
Berwick,Maine,me,7246,6353,5995,4149,3136,2738,2166,1971,1961,2057,2098,2280
Bethel,Maine,me,2607,2411,2329,2340,2220,2408,2367,2034,2025,1792,1930,1835
Biddeford,Maine,me,21277,20942,20710,19638,19983,19255,20836,19790,17633,18008,17079,16145
Bingham,Maine,me,922,989,1230,1184,1254,1308,1354,1210,1592,1143,775,841
Blaine,Maine,me,726,806,784,922,903,945,1118,1049,1061,1117,1013,954
Blanchard,Maine,me,98,83,78,64,56,57,75,118,104,124,175,248
