geoid,name,st,cty_fips,cz,pop2010,rucc,cbsa,csa,metro_type,msp,msp_yr,msp_accr,msp_affl,jobs_02,jobs_03,jobs_04,jobs_05,jobs_06,jobs_07,jobs_08,jobs_09,jobs_10,jobs_11,jobs_12,jobs_13,jobs_14,jobs_15
2675100,South Lyon,Michigan,26125,232,11327,1,19820,220,Metropolitan Statistical Area,0,0,0,0,2263,2549,2697,2859,2659,2712,2460,2294,2486,2432,2227,2250,2092,2262
2677860,Sylvan Lake,Michigan,26125,232,1720,1,19820,220,Metropolitan Statistical Area,0,0,0,0,1024,930,1012,981,1010,1111,1120,985,971,676,491,560,590,560
2680420,Trenton,Michigan,26163,232,18853,1,19820,220,Metropolitan Statistical Area,0,0,0,0,8429,8184,7983,7172,7232,6637,6345,3937,4985,3395,4970,4925,4947,5069
2681540,Utica,Michigan,26099,232,4757,1,19820,220,Metropolitan Statistical Area,0,0,0,0,3293,4592,4792,4525,4572,4287,4269,3813,3858,3651,5796,5880,6278,6775
2684940,Wayne,Michigan,26163,232,17593,1,19820,220,Metropolitan Statistical Area,1,2014,0,1,10822,10232,9762,11032,10875,11470,10235,9375,9609,10271,7553,7738,9220,11001
2688900,Wyandotte,Michigan,26163,232,25883,1,19820,220,Metropolitan Statistical Area,0,0,0,0,13933,13593,13388,11567,11217,13288,13196,12231,12118,13492,8546,8710,8168,8564
2689000,Yale,Michigan,26147,232,1955,1,19820,220,Metropolitan Statistical Area,0,0,0,0,708,477,523,653,616,573,586,395,572,551,660,672,643,793
2701720,Anoka,Minnesota,27003,47,17142,1,33460,378,Metropolitan Statistical Area,0,0,0,0,11605,11722,9691,10907,12831,13810,13540,12836,13657,13752,13298,13887,14413,14143
2702152,Arlington,Minnesota,27143,499,2233,1,33460,378,Metropolitan Statistical Area,0,0,0,0,758,893,943,870,841,822,841,792,876,1044,982,1055,851,657
2704114,Bayport,Minnesota,27163,47,3471,1,33460,378,Metropolitan Statistical Area,0,0,0,0,4502,4589,5628,1800,4989,4113,3485,3270,3350,3409,3275,3361,3438,3772
2704834,Belle Plaine,Minnesota,27139,47,6661,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1691,1710,1741,1519,2003,1934,2066,2633,2409,2434,2275,2231,2509,2307
2707948,Brooklyn Center,Minnesota,27053,47,30104,1,33460,378,Metropolitan Statistical Area,0,0,0,0,13354,14633,12625,10436,12270,13238,14477,11645,11927,12056,12262,12485,12295,12879
2708452,Buffalo,Minnesota,27171,47,15453,1,33460,378,Metropolitan Statistical Area,0,0,0,0,6347,6340,6963,7498,7521,7937,6456,6713,6438,6884,7277,7287,7315,7507
2709370,Cambridge,Minnesota,27059,47,8111,1,33460,378,Metropolitan Statistical Area,0,0,0,0,5491,4741,4966,5387,5297,5189,5143,5448,5221,5407,5553,6081,6479,7039
2710972,Chaska,Minnesota,27019,47,23770,1,33460,378,Metropolitan Statistical Area,0,0,0,0,11381,11778,11467,11648,12642,12449,12024,10217,10020,10293,10045,10266,10644,11008
2712430,Cokato,Minnesota,27171,47,2694,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1418,1361,1288,1261,1291,1425,1408,1380,1061,1383,1800,1806,1617,1678
2712700,Columbia Heights,Minnesota,27003,47,19496,1,33460,378,Metropolitan Statistical Area,0,0,0,0,4699,4275,3962,3963,4622,4556,4300,3606,3215,3125,3568,3487,4028,3789
2714158,Crystal,Minnesota,27053,47,22151,1,33460,378,Metropolitan Statistical Area,0,0,0,0,4681,4961,4993,4540,3793,3832,4035,3781,3738,3918,4035,4092,4153,4467
2715148,Deephaven,Minnesota,27053,47,3642,1,33460,378,Metropolitan Statistical Area,0,0,0,0,850,932,917,835,780,831,814,859,797,897,944,1019,1056,1107
2715454,Delano,Minnesota,27171,47,5464,1,33460,378,Metropolitan Statistical Area,0,0,0,0,2352,2308,2229,2284,2039,2107,2276,2283,2431,2425,2637,2663,2815,2880
2718188,Edina,Minnesota,27053,47,47941,1,33460,378,Metropolitan Statistical Area,0,0,0,0,70663,62124,66724,64620,57455,55888,59014,58069,57578,47949,49208,48746,47185,47198
2718674,Elk River,Minnesota,27141,12,22974,1,33460,378,Metropolitan Statistical Area,0,0,0,0,8098,8493,8307,8490,9077,9399,9281,9854,10333,10776,10894,11627,12163,11780
2720078,Excelsior,Minnesota,27053,47,2188,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1754,1837,2009,2131,1989,2033,1991,2006,1962,2093,2223,2197,2218,2384
2720618,Farmington,Minnesota,27037,47,21086,1,33460,378,Metropolitan Statistical Area,0,0,0,0,2149,3175,2609,3600,3583,3536,3476,3577,4504,4673,4454,4550,4670,5003
2721770,Forest Lake,Minnesota,27163,47,18375,1,33460,378,Metropolitan Statistical Area,0,0,0,0,6054,6170,6219,6185,5956,6106,5937,5983,5928,6431,6366,6602,6469,7161
2723300,Gaylord,Minnesota,27143,499,2305,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1497,1451,1466,1521,1746,1517,1488,1470,928,934,948,931,1546,1643
2724308,Golden Valley,Minnesota,27053,47,20371,1,33460,378,Metropolitan Statistical Area,0,0,0,0,29139,26939,26325,27044,34755,30276,32185,35129,37465,40348,40221,43347,38898,37562
2727530,Hastings,Minnesota,27037,47,22172,1,33460,378,Metropolitan Statistical Area,0,0,0,0,9394,8723,10006,10175,10079,10140,9940,9771,9869,9676,7337,8113,8123,8536
2730140,Hopkins,Minnesota,27053,47,17591,1,33460,378,Metropolitan Statistical Area,0,0,0,0,13159,12933,13315,13412,12693,12734,12888,11428,11933,11109,12157,12271,12980,14586
2732174,Jordan,Minnesota,27139,47,5470,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1200,1415,1412,1405,1468,1479,1439,1391,1019,1184,1269,1305,1248,1492
2736134,Le Center,Minnesota,27079,83,2499,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1448,1373,1328,1299,1352,1269,1336,1366,1319,1273,1448,1163,1332,1301
2736746,Le Sueur,Minnesota,27079,83,4058,1,33460,378,Metropolitan Statistical Area,0,0,0,0,3808,2390,1876,1881,2543,2472,2551,2358,2280,2433,2983,3063,3277,3075
2740166,Maple Grove,Minnesota,27053,47,61567,1,33460,378,Metropolitan Statistical Area,0,0,0,0,19130,19963,20956,23802,24019,22752,24498,22548,26340,26981,29589,30659,34957,34257
2741480,Medina,Minnesota,27053,47,4892,1,33460,378,Metropolitan Statistical Area,0,0,0,0,3155,3094,3320,3057,3093,3325,3303,2836,2830,3071,4945,5100,5444,4583
2742110,Milaca,Minnesota,27095,12,2946,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1644,1739,1716,1780,1767,1801,1833,1813,1746,1751,1701,1673,1691,1730
2743738,Montgomery,Minnesota,27079,83,2956,1,33460,378,Metropolitan Statistical Area,0,0,0,0,762,742,807,744,826,900,859,579,558,498,882,1132,924,1103
2743774,Monticello,Minnesota,27171,47,12759,1,33460,378,Metropolitan Statistical Area,0,0,0,0,4244,4623,4739,4042,4543,4795,4729,5335,5097,6139,5724,5847,5980,6880
2744476,Mound,Minnesota,27053,47,9052,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1419,1380,1207,1161,1113,1182,1159,1149,1032,1049,1126,1116,1270,1361
2745808,New Prague,Minnesota,27139,47,7321,1,33460,378,Metropolitan Statistical Area,0,0,0,0,2253,2224,2376,2046,2639,2667,2611,2138,2298,2324,1855,1948,2276,2282
2747221,North St. Paul,Minnesota,27123,47,11460,1,33460,378,Metropolitan Statistical Area,0,0,0,0,3393,3777,3746,3600,3604,3747,3364,3944,3249,3070,3190,3256,3262,3296
2751730,Plymouth,Minnesota,27053,47,70576,1,33460,378,Metropolitan Statistical Area,0,0,0,0,48824,48095,50761,48166,48345,50576,47202,44747,45972,49122,52676,52021,50579,52110
2752522,Princeton,Minnesota,27095,12,4698,1,33460,378,Metropolitan Statistical Area,0,0,0,0,3928,3976,4134,4188,4266,4236,4237,4099,3600,3649,3494,3737,3713,4238
2754214,Richfield,Minnesota,27053,47,35228,1,33460,378,Metropolitan Statistical Area,0,0,0,0,12444,15762,13815,13706,14651,15034,15167,15791,16692,15983,15517,14948,14622,16246
2754808,Robbinsdale,Minnesota,27053,47,13953,1,33460,378,Metropolitan Statistical Area,0,0,0,0,6784,7038,7265,6315,6200,5893,6151,5781,5816,6164,6541,6200,6240,6407
2756266,Rush City,Minnesota,27025,47,3079,1,33460,378,Metropolitan Statistical Area,0,0,0,0,851,887,1225,1252,1329,1360,1469,1455,1411,1434,1623,1702,1668,1720
2757220,St. Louis Park,Minnesota,27053,47,45250,1,33460,378,Metropolitan Statistical Area,0,0,0,0,41497,43231,41246,42717,41354,44551,40550,35852,39079,40848,37800,36473,36089,37726
2758018,St. Paul Park,Minnesota,27163,47,5279,1,33460,378,Metropolitan Statistical Area,0,0,0,0,1034,1355,1350,1349,1408,1453,1491,1443,1473,1594,1518,1169,1571,1181
2759350,Shakopee,Minnesota,27139,47,37076,1,33460,378,Metropolitan Statistical Area,1,2014,1,0,9400,11202,11789,12114,13108,14067,14384,13841,15555,15789,15925,16266,16885,17405
2761492,South St. Paul,Minnesota,27037,47,20160,1,33460,378,Metropolitan Statistical Area,0,0,0,0,7466,7868,8472,8420,8077,8679,9215,8815,8747,8516,7799,7282,7345,7380
2762824,Stillwater,Minnesota,27163,47,18225,1,33460,378,Metropolitan Statistical Area,0,0,0,0,9196,9295,8545,8758,8414,8370,8852,8153,8573,8869,9190,9018,8889,9041
2767432,Waconia,Minnesota,27019,47,10697,1,33460,378,Metropolitan Statistical Area,0,0,0,0,4318,4631,4759,5014,5189,5150,5312,5351,5203,5838,5944,6061,6689,7095
2768584,Waterville,Minnesota,27079,83,1868,1,33460,378,Metropolitan Statistical Area,0,0,0,0,492,690,583,619,587,540,529,471,484,471,438,447,460,462
2768818,Wayzata,Minnesota,27053,47,3688,1,33460,378,Metropolitan Statistical Area,0,0,0,0,5127,5428,5398,5488,5468,5405,5443,5435,4869,4045,3841,3897,3962,4951
2769700,West St. Paul,Minnesota,27037,47,19540,1,33460,378,Metropolitan Statistical Area,0,0,0,0,7594,7531,11379,11306,10978,10527,7080,10482,10068,7490,7422,7765,7760,8029
2769970,White Bear Lake,Minnesota,27123,47,23797,1,33460,378,Metropolitan Statistical Area,0,0,0,0,9325,10305,10173,10923,11079,11622,11554,11618,10714,11553,11654,11206,11695,11740
2771122,Winthrop,Minnesota,27143,499,1399,1,33460,378,Metropolitan Statistical Area,0,0,0,0,158,260,265,208,178,312,252,509,247,547,574,458,484,444
3704840,Belmont,North Carolina,37071,138,10076,1,16740,172,Metropolitan Statistical Area,1,2000,1,0,4436,3915,3623,4055,4349,4396,4754,4346,4493,4748,4507,4725,4431,4759
3705040,Benson,North Carolina,37101,87,3311,1,39580,450,Metropolitan Statistical Area,1,2008,0,1,1725,1691,1601,1734,1677,1520,1669,1529,1653,1414,1885,2009,1879,1810
3705220,Bessemer City,North Carolina,37071,138,5340,1,16740,172,Metropolitan Statistical Area,1,2011,0,1,538,457,410,355,397,478,483,465,779,894,857,855,831,804
3712340,Cherryville,North Carolina,37071,138,5760,1,16740,172,Metropolitan Statistical Area,1,2012,0,1,1895,1616,1646,2022,1885,2017,1987,1772,1632,1814,1953,2092,2121,2057
3712480,China Grove,North Carolina,37159,138,3563,1,16740,172,Metropolitan Statistical Area,0,0,0,0,1224,1204,1023,1026,1084,1199,1189,997,940,879,992,1066,1128,1251
3712860,Clayton,North Carolina,37101,87,16116,1,39580,450,Metropolitan Statistical Area,1,2006,1,0,3560,3761,3826,4254,3975,3590,3857,4076,3365,4157,7426,7251,7117,8423
3714700,Cornelius,North Carolina,37119,138,24866,1,16740,172,Metropolitan Statistical Area,0,0,0,0,6132,5760,6203,6722,7557,8335,8029,6871,7561,7850,9318,8527,9719,11478
3716180,Dallas,North Carolina,37071,138,4488,1,16740,172,Metropolitan Statistical Area,0,0,0,0,918,1090,1153,1294,1265,1057,1918,1738,1467,1440,1334,1440,1335,1467
3716400,Davidson,North Carolina,37119,138,10944,1,16740,172,Metropolitan Statistical Area,1,2009,1,0,3059,3078,2262,2638,3004,3490,4005,3828,4390,5146,5256,5427,5875,7708
3719860,East Spencer,North Carolina,37159,138,1534,1,16740,172,Metropolitan Statistical Area,0,0,0,0,535,567,568,567,519,328,104,67,315,227,142,159,314,308
3724720,Franklinton,North Carolina,37069,87,2023,1,39580,450,Metropolitan Statistical Area,0,0,0,0,292,128,267,309,287,361,455,410,640,632,339,366,356,442
3725300,Fuquay-Varina,North Carolina,37183,87,17937,1,39580,450,Metropolitan Statistical Area,1,2006,1,0,5459,5127,5470,5854,6314,6459,6862,5553,6290,6615,8176,8210,8432,9135
3725580,Gastonia,North Carolina,37071,138,71741,1,16740,172,Metropolitan Statistical Area,0,0,0,0,42848,41445,41194,45399,45105,46198,44638,40698,41640,42046,41392,43493,42667,42216
3735200,Kannapolis,North Carolina,37025,138,42625,1,16740,172,Metropolitan Statistical Area,0,0,0,0,14085,13874,11376,11237,11519,12319,11577,11132,10636,11410,11668,12267,11879,12145
3735540,Kenly,North Carolina,37101,87,1339,1,39580,450,Metropolitan Statistical Area,0,0,0,0,1215,1111,1059,1275,1044,962,1052,915,783,915,989,1044,1176,1094
3736860,Landis,North Carolina,37159,138,3109,1,16740,172,Metropolitan Statistical Area,0,0,0,0,1182,1122,993,1024,968,1218,1241,1088,966,1222,1167,1079,1086,1074
3738320,Lincolnton,North Carolina,37109,138,10486,1,16740,172,Metropolitan Statistical Area,1,1995,1,0,11449,10924,10332,10667,10692,11071,9247,8278,7586,7689,7842,8842,7724,8393
3739360,Louisburg,North Carolina,37069,87,3359,1,39580,450,Metropolitan Statistical Area,0,0,0,0,3373,3058,3285,3045,3544,3133,3587,2869,3258,3117,3601,3538,3483,3228
3739480,Lowell,North Carolina,37071,138,3526,1,16740,172,Metropolitan Statistical Area,0,0,0,0,1696,1467,1316,1349,1329,1440,1353,1204,1201,1214,1298,1456,1400,1292
3741640,Marshville,North Carolina,37179,138,2402,1,16740,172,Metropolitan Statistical Area,1,2013,0,1,2016,2057,2046,2003,1971,2501,1382,1277,1694,1723,1781,2083,1545,2527
3743920,Monroe,North Carolina,37179,138,32797,1,16740,172,Metropolitan Statistical Area,1,1998,1,0,23742,23792,21920,24778,25367,26723,28370,24335,25506,25475,25417,24174,24713,26930
3744220,Mooresville,North Carolina,37097,138,32711,1,16740,172,Metropolitan Statistical Area,1,1988,1,0,12016,13028,14066,15757,16611,20531,19529,17651,17770,22767,24314,25302,26697,28964
3744960,Mount Holly,North Carolina,37071,138,13656,1,16740,172,Metropolitan Statistical Area,0,0,0,0,4324,3995,3888,4889,4877,4863,4248,2636,2661,2648,3092,4683,4816,5413
3745140,Mount Pleasant,North Carolina,37025,138,1652,1,16740,172,Metropolitan Statistical Area,0,0,0,0,610,515,593,583,528,624,479,464,611,678,597,572,630,632
3752220,Pineville,North Carolina,37119,138,7479,1,16740,172,Metropolitan Statistical Area,0,0,0,0,13637,13312,12175,12844,13361,13202,13050,11124,11159,12720,13915,14120,14191,13553
3758860,Salisbury,North Carolina,37159,138,33662,1,16740,172,Metropolitan Statistical Area,1,1980,1,0,25318,25711,25754,25718,24705,25336,25668,24576,25110,23063,25160,25956,27006,29153
3760320,Selma,North Carolina,37101,87,6073,1,39580,450,Metropolitan Statistical Area,1,2009,0,1,2678,2671,2528,2682,2818,2165,2450,2399,2204,2354,2547,2586,2582,2786
3762520,Smithfield,North Carolina,37101,87,10966,1,39580,450,Metropolitan Statistical Area,1,1986,1,0,12569,12453,12669,12535,13067,13944,14293,13669,14460,14957,14330,14641,14399,14488
3763760,Spencer,North Carolina,37159,138,3267,1,16740,172,Metropolitan Statistical Area,1,2012,0,1,1018,1107,1040,1106,1044,994,978,970,998,971,967,965,951,945
3764500,Stanley,North Carolina,37071,138,3556,1,16740,172,Metropolitan Statistical Area,0,0,0,0,664,598,395,618,604,641,641,588,603,790,835,917,1001,1088
3764740,Statesville,North Carolina,37097,138,24532,1,16740,172,Metropolitan Statistical Area,1,1982,1,0,27181,27657,27090,26727,27317,28846,25395,23508,25517,26178,25408,24764,25148,24467
