"","s01","","s03",""
"","b","se","b","se"
"-3","-14.65627","16.2061","-.0130198",".6344412"
"-2","-12.54218","14.74691","-.1510042",".3287964"
"0","-3.199633","4.323908",".1012446",".5733888"
"1",".2501826","7.135494",".165331",".5153018"
"2","2.549275","9.125629",".0870246",".4275971"
"3","-.7211356","13.65376",".5310937",".6666068"
"4","-.7095449","14.32326",".5937601",".8065652"
"5",".8537636","16.20488",".7557691","1.074691"
"N","1314","","1314",""
