cty_fips,cal_yr,cty_unemp_rt,cty_pop,lag_unemp
6015,1991,12.2,27012,12.1
6017,1991,6.6,132724,4.5
6019,1991,13.4,691569,11.6
6021,1991,15.7,25181,12.5
6023,1991,8.7,121375,7.9
6025,1991,25.9,117143,25.5
6027,1991,9.7,18312,7.1
6029,1991,12.1,569346,10.9
6031,1991,12.6,104334,11.2
6033,1991,10.6,53036,8.9
6035,1991,10.4,28001,9.8
6037,1991,8,8948125,5.9
6039,1991,14.9,94973,13.5
6041,1991,3.8,233443,2.5
6043,1991,7.1,15061,5.7
6045,1991,10.6,81729,7.6
6047,1991,15.6,186091,12.9
6049,1991,12.4,9779,9.6
6051,1991,12,10044,5.9
6053,1991,11.3,364805,9.7
6055,1991,5.8,112233,4.1
6057,1991,6.5,81288,4.8
6059,1991,5.2,2452691,3.5
6061,1991,6.4,181611,4.2
6063,1991,11,20167,9.9
6065,1991,10,1246326,7.2
6067,1991,6.6,1107559,4.6
6069,1991,16,37329,12.2
6071,1991,8.2,1492824,5.6
6073,1991,6.2,2553122,4.6
6075,1991,5.3,729708,3.8
6077,1991,12,492694,9.9
6079,1991,6,219895,4.6
6081,1991,3.9,655493,2.6
6083,1991,5.9,374910,4.9
6085,1991,5.7,1513118,4
6087,1991,8.8,229935,7.2
6089,1991,10.9,153746,8.6
6091,1991,10.8,3336,10.9
6093,1991,13.1,44035,12.2
6095,1991,6.2,354104,4.8
6097,1991,5.5,397937,3.9
6099,1991,14.7,386163,11.9
6101,1991,16.9,67153,14.1
6103,1991,11.5,51205,10
6105,1991,14.5,13097,12.5
6107,1991,18.1,323705,12.3
6109,1991,8.6,50037,6.7
6111,1991,7.5,675706,5.8
6113,1991,7.8,145100,6.9
6115,1991,13.8,59524,10.7
8001,1991,5.3,NA,5.8
8003,1991,7.1,13926,7.3
8005,1991,3.9,406279,3.8
8007,1991,7.6,5557,5.2
8009,1991,3.3,4527,1.9
8011,1991,4.5,4928,3.4
8013,1991,4.6,NA,4.9
8014,1991,3.5,NA,3.7
8015,1991,5.9,12788,6.9
8017,1991,2.1,2377,1.3
8019,1991,4.2,7852,4
8021,1991,10.4,7545,12
8023,1991,13,3262,10.7
8025,1991,5.2,4072,4
8027,1991,4.9,2004,4.6
8029,1991,10.1,21703,7.1
8031,1991,5.7,478352,5.6
8033,1991,12,1401,4.8
8035,1991,3,67060,3.2
8037,1991,4.8,23941,3.6
8039,1991,4.9,10247,4.1
8041,1991,6.9,404419,7.2
8043,1991,6.9,32356,6.5
8045,1991,7,31384,4.1
8047,1991,3.2,3171,2.5
8049,1991,3.8,8251,3.1
8051,1991,7.6,10613,7.4
8053,1991,2.1,472,2.5
8055,1991,7.9,6032,8.1
8057,1991,5.5,1609,2.9
8059,1991,3.9,NA,3.9
8061,1991,4.2,1631,2.6
8063,1991,2.2,7252,1.2
8065,1991,7.1,6255,6.2
8067,1991,6.2,33684,6
8069,1991,4.8,193154,5
8071,1991,7.1,13567,8.3
8073,1991,3.2,5061,2.7
8075,1991,5.4,17594,3.5
8077,1991,6.8,96348,6
8079,1991,4.1,574,7
8081,1991,6.9,11518,5.8
8083,1991,8.4,19104,7.4
8085,1991,7.7,25211,6.4
8087,1991,4.6,22619,4.5
8089,1991,6.8,20126,7.2
8091,1991,7.3,2438,9.9
8093,1991,4.3,7655,3.8
8095,1991,2.1,4206,1.5
8097,1991,7.3,12877,5.4
8099,1991,5.9,13349,5.6
8101,1991,7.8,123447,7.3
8103,1991,5.1,6134,4.3
8105,1991,10.2,10814,10.1
8107,1991,5,14807,4.3
8109,1991,10.6,4690,12.1
8111,1991,22,705,8
8113,1991,6.6,4108,5.1
8115,1991,3.3,2692,1.8
8117,1991,4.4,13962,3.7
8119,1991,4.7,12808,4.6
8121,1991,2.9,4813,2
8123,1991,5.2,NA,5.8
8125,1991,2.6,8998,2.2
9001,1991,5.8,833094,4.7
9003,1991,6.9,854316,5.2
9005,1991,6.4,175469,4.7
9007,1991,5.7,144146,4.1
9009,1991,7,807490,5.6
9011,1991,6.6,255761,5.7
9013,1991,5.7,129017,4
9015,1991,8.7,103602,7.2
10001,1991,6.3,114288,4.6
10003,1991,6.5,450843,5.1
10005,1991,4.9,117949,3.4
11001,1991,7.8,600870,6.3
12001,1991,4.5,188259,3.6
12003,1991,10,19262,7.3
12005,1991,8.2,130000,9.1
12007,1991,5.6,23243,4.5
12009,1991,7.3,415512,5.4
12011,1991,8,1296261,5.8
12013,1991,8.5,11317,7.3
12015,1991,6.8,117813,4.8
12017,1991,9.8,97569,8.2
12019,1991,5.2,109721,4.4
12021,1991,8.1,163988,5.5
12023,1991,9.9,43715,8.6
12027,1991,7.5,25266,7.2
12029,1991,11.4,11099,7.5
12031,1991,6.5,693469,5.3
12033,1991,6,267643,5.8
12035,1991,8.6,31497,6.3
12037,1991,5.3,9380,5.5
12039,1991,6.7,42356,5
12041,1991,7.9,10332,7.8
12043,1991,9.7,7698,10.6
12045,1991,6.6,11422,6.7
12047,1991,9,11217,8
12049,1991,11.2,20633,11.8
12051,1991,13.3,27611,13.3
12053,1991,9,106966,7.4
12055,1991,8.9,71614,9
12057,1991,6.4,850326,4.9
12059,1991,6.7,15921,6.9
12061,1991,12.7,93593,11.5
12063,1991,6.8,42150,6
12065,1991,5.2,11949,4.2
12067,1991,6.9,5683,5.8
12069,1991,8.4,157490,8.2
12071,1991,6.2,351069,3.9
12073,1991,3.7,202029,3.2
12075,1991,6.8,26722,5.6
12077,1991,5.7,5772,4
12079,1991,8.4,16833,8.9
12081,1991,5.4,218854,4
12083,1991,8.3,203775,6
12085,1991,10.2,104970,7.5
12086,1991,8.9,1981618,7.4
12087,1991,4,78991,2.7
12089,1991,6.8,45480,5.8
12091,1991,6.3,148130,5.9
12093,1991,9.5,30783,8.3
12095,1991,7,706454,5.6
12097,1991,6.4,117557,4.9
12099,1991,9.2,898852,7.3
12101,1991,7.9,285780,6.3
12103,1991,6.3,867902,4.7
12105,1991,10,415136,10.2
12107,1991,7.4,66330,6.3
12109,1991,6,87640,5.2
12111,1991,14,158173,13
12113,1991,5.5,85338,5.5
12115,1991,4.9,286249,3.8
12117,1991,6.6,301800,5.3
12119,1991,8.8,32863,7.8
12121,1991,9.2,27792,7.9
12123,1991,15.6,17398,12.1
12125,1991,5.5,11341,5.1
12127,1991,6.8,384098,5.2
12129,1991,4.8,15175,3.9
12131,1991,7,29681,6.4
12133,1991,6.6,17238,6.9
13001,1991,8.3,16020,12
13003,1991,6.2,6240,7.5
13005,1991,6.4,9557,5.9
13007,1991,6.2,3741,5.2
13009,1991,3.9,40252,4.2
13011,1991,5.2,10541,5.3
13013,1991,6.2,31341,7.7
13015,1991,6.8,57961,7.3
13017,1991,5.7,16576,6.3
13019,1991,5.6,14209,7.3
13021,1991,4.6,151442,5.1
13023,1991,4.5,10575,5.8
13025,1991,7.4,11269,8.5
13027,1991,3.4,15510,3.7
13029,1991,4.6,16242,4.4
13031,1991,4.3,44682,5.3
13033,1991,11.6,20465,10.8
13035,1991,7.2,15600,6.8
13037,1991,6.7,5123,5.6
13039,1991,3.8,33836,5.3
13043,1991,4.3,8004,5
13045,1991,5.8,72988,6.2
13047,1991,4.7,43330,4.6
13049,1991,4.2,8687,4.9
13051,1991,4.5,220041,4.7
13053,1991,7.7,14940,10.4
13055,1991,7.4,22647,7.4
13057,1991,3.8,96467,4.2
13059,1991,4,89240,5.8
13061,1991,4,3325,4.7
13063,1991,5.9,186749,5.4
13065,1991,4.5,6263,5
13067,1991,4.2,463887,4.1
13069,1991,5.3,30232,7.2
13071,1991,5.2,36892,5.2
13073,1991,3.5,69625,3.3
13075,1991,7.2,13527,6.4
13077,1991,5.6,56947,5.8
13079,1991,7.3,9432,6.8
13081,1991,6.5,20598,7
13083,1991,5.5,13257,5.9
13085,1991,4.7,9843,5.1
13087,1991,6.7,25906,4.4
13089,1991,4.8,562513,4.9
13091,1991,5.6,18019,6
13093,1991,7.2,10055,6.2
13095,1991,6.8,96896,7.7
13097,1991,4.8,73278,4.7
13099,1991,7,11961,6.1
13101,1991,3.6,2413,4.9
13103,1991,5.1,26407,3.8
13105,1991,7,19168,8.3
13107,1991,9.7,20741,9.3
13109,1991,4.8,8798,4.1
13111,1991,7.3,16268,7.8
13113,1991,3.8,65965,3.3
13115,1991,5.9,82274,7.7
13117,1991,4.5,46859,4.5
13119,1991,6.5,17016,8
13121,1991,5.4,663021,5.6
13123,1991,7.3,14169,7.4
13125,1991,5.8,2322,5.9
13127,1991,4.1,63229,4.3
13129,1991,7.2,35818,7.8
13131,1991,5.4,20635,5
13133,1991,7.8,12092,6.8
13135,1991,3.9,374266,4.1
13137,1991,5,28422,5.2
13139,1991,5,99525,5.5
13141,1991,9.6,9054,6.4
13143,1991,9.8,22115,6.9
13145,1991,4.9,17885,5.2
13147,1991,5.8,19973,6.2
13149,1991,7.4,8861,5.2
13151,1991,4.8,63520,4.6
