city_fips,st,place,p1980,p1990,p2000,p2010
1758447,Illinois,Pekin city,33967,32254,33857,34094
1704587,Illinois,Pembroke,673,,,
1758577,Illinois,Penfield CDP,,,,193
1759000,Illinois,Peoria city,124160,113504,112936,115007
1759026,Illinois,Peoria Heights village,7453,6930,6635,6156
1759052,Illinois,Peotone village,2832,2947,3385,4142
1759104,Illinois,Percy village,1053,925,942,970
1759156,Illinois,Perry village,487,491,437,397
1759234,Illinois,Peru city,10886,9302,9835,10295
1759273,Illinois,Pesotum village,651,558,521,551
1759312,Illinois,Petersburg city,2419,2261,2299,2260
1759520,Illinois,Phillipstown village,37,48,28,44
1759533,Illinois,Philo village,973,1028,1314,1466
1759572,Illinois,Phoenix village,2850,2217,2157,1964
1759709,Illinois,Pierron village,577,554,653,600
1759884,Illinois,Pinckneyville city,3319,3372,5464,5648
1759988,Illinois,Pingree Grove village,183,138,124,4532
1760079,Illinois,Piper City village,905,760,781,826
1760144,Illinois,Pistakee Highlands CDP,3623,3848,3812,3454
1760209,Illinois,Pittsburg village,605,602,575,572
1760222,Illinois,Pittsfield city,4170,4231,4211,4576
1760287,Illinois,Plainfield village,3767,4557,13038,39581
1760339,Illinois,Plainville village,289,261,248,264
1760352,Illinois,Plano city,4875,5104,5633,10856
1760391,Illinois,Plattville village,,,,242
1760534,Illinois,Pleasant Hill village,1112,1030,1047,966
1760599,Illinois,Pleasant Plains village,688,701,777,802
1760833,Illinois,Plymouth village,649,521,562,505
1760872,Illinois,Pocahontas village,866,837,727,784
1760937,Illinois,Polo city,2643,2514,2477,2355
1761015,Illinois,Pontiac city,11227,11428,11864,11931
1761067,Illinois,Pontoon Beach village,3336,4013,5620,5836
1761080,Illinois,Pontoosuc village,261,264,171,146
1761145,Illinois,Poplar Grove village,818,743,1368,5023
1761216,Illinois,Port Barrington village,,,,1517
1761223,Illinois,Port Byron village,1289,1002,1535,1647
1761314,Illinois,Posen village,4642,4226,4730,5987
1761366,Illinois,Potomac village,874,753,681,750
1761548,Illinois,Prairie City village,580,497,461,379
1761639,Illinois,Prairie du Rocher village,701,540,613,604
1761678,Illinois,Prairie Grove village,680,654,960,1904
1761821,Illinois,Prestbury CDP,,,,1722
1761860,Illinois,Preston Heights CDP,,2750,2527,2575
1761899,Illinois,Princeton city,7342,7197,7501,7660
1761925,Illinois,Princeville village,1712,1421,1621,1738
1761977,Illinois,Prophetstown city,2141,1749,2023,2080
1762016,Illinois,Prospect Heights city,11808,15239,17081,16256
1762211,Illinois,Pulaski village,477,361,274,206
1762367,Illinois,Quincy city,42554,39681,40366,40633
1762523,Illinois,Radom village,174,174,395,220
1762588,Illinois,Raleigh village,352,305,330,350
1762627,Illinois,Ramsey village,1058,963,1056,1037
1762744,Illinois,Rankin village,727,619,617,561
1762757,Illinois,Ransom village,456,438,409,384
1762783,Illinois,Rantoul village,20161,17212,12857,12941
1762822,Illinois,Rapids City village,1058,932,953,959
1762848,Illinois,Raritan village,177,146,140,138
1762965,Illinois,Raymond village,957,820,927,1006
1763043,Illinois,Red Bud city,2850,2918,3422,3698
1763056,Illinois,Reddick village,243,208,219,163
1763069,Illinois,Redmon village,224,201,199,173
1763355,Illinois,Rentchler CDP,,,,34
1763420,Illinois,Reynolds village,701,583,508,539
1763641,Illinois,Richmond village,1068,1016,1091,1874
1763706,Illinois,Richton Park village,9403,10523,12533,13646
1763719,Illinois,Richview village,299,307,308,253
1763862,Illinois,Ridge Farm village,1096,939,912,882
1764018,Illinois,Ridgway village,1245,1103,928,869
1764044,Illinois,Ridott village,194,156,159,164
1764135,Illinois,Ringwood village,,,471,836
1764148,Illinois,Rio village,282,260,240,220
1764174,Illinois,Ripley village,149,103,103,86
1764304,Illinois,River Forest village,12392,11669,11635,11172
1764343,Illinois,River Grove village,10368,9961,10668,10227
1764278,Illinois,Riverdale village,13233,13671,15055,13549
1764421,Illinois,Riverside village,9236,8774,8895,8875
1764486,Illinois,Riverton village,2783,2638,3048,3455
1764538,Illinois,Riverwoods village,2804,2868,3843,3660
1764590,Illinois,Roanoke village,2001,1910,1994,2065
1764616,Illinois,Robbins village,8853,7498,6635,5337
1764655,Illinois,Roberts village,422,397,387,362
1764707,Illinois,Robinson city,7285,6740,6822,7713
1764746,Illinois,Rochelle city,8982,8769,9424,9574
1764759,Illinois,Rochester village,2488,2676,2893,3689
1764837,Illinois,Rock City village,293,286,313,315
1764928,Illinois,Rock Falls city,10633,9654,9580,9266
1765104,Illinois,Rock Island Arsenal CDP,,,145,149
1765078,Illinois,Rock Island city,47036,40552,39684,39018
1764811,Illinois,Rockbridge village,258,212,189,169
1764902,Illinois,Rockdale village,1913,1709,1888,1976
1765000,Illinois,Rockford city,139712,139426,150115,152871
1765156,Illinois,Rockton village,2313,2928,5296,7685
1765221,Illinois,Rockwood village,59,45,41,42
1765338,Illinois,Rolling Meadows city,20167,22591,24604,24099
1765403,Illinois,Rome CDP,2744,1902,1776,1738
1765442,Illinois,Romeoville village,15519,14074,21153,39680
1765481,Illinois,Roodhouse city,2364,2139,2214,1814
1765611,Illinois,Roscoe village,1388,2079,6244,10785
1765754,Illinois,Rose Hill village,121,78,79,80
1765806,Illinois,Roselle village,16948,20819,23115,22763
1765819,Illinois,Rosemont village,4137,3995,4224,4202
1765845,Illinois,Roseville village,1254,1151,1083,989
1765884,Illinois,Rosewood Heights CDP,5085,4821,4262,4038
1765897,Illinois,Rosiclare city,1441,1378,1213,1160
1765962,Illinois,Rossville village,1363,1334,1217,1331
1766040,Illinois,Round Lake Beach village,12921,16434,25859,28175
1766053,Illinois,Round Lake Heights village,1192,1251,1347,2676
1766066,Illinois,Round Lake Park village,4032,4045,6038,7505
1766027,Illinois,Round Lake village,2644,3550,5842,18289
1766131,Illinois,Roxana village,1587,1562,1547,1542
1766196,Illinois,Royal Lakes village,270,272,190,197
1766157,Illinois,Royal village,274,217,279,293
1766209,Illinois,Royalton village,1320,1191,1130,1151
1766287,Illinois,Ruma village,254,256,260,317
1766339,Illinois,Rushville city,3348,3229,3212,3192
1766404,Illinois,Russellville village,171,133,119,94
1766443,Illinois,Rutland village,487,391,354,318
1766534,Illinois,Sadorus village,435,469,426,416
1766599,Illinois,Sailor Springs village,159,136,128,95
1767236,Illinois,Salem city,7813,7470,7909,7485
