name,st,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
St. Helena,North Carolina,389,395,321,0,0,0,0,0,0,0,0,0
St. James,North Carolina,3165,804,0,0,0,0,0,0,0,0,0,0
St. Pauls,North Carolina,2035,2137,1992,1639,2011,2249,2251,1923,2080,1147,419,0
Salemburg,North Carolina,435,469,409,742,669,569,435,371,318,215,0,0
Salisbury,North Carolina,33662,26462,23087,22677,22515,21297,20102,19037,16951,13884,7153,6277
Saluda,North Carolina,713,575,488,607,546,570,547,539,558,549,235,211
Sandy Creek,North Carolina,260,246,243,0,0,0,0,0,0,0,0,0
Sandyfield,North Carolina,447,340,0,0,0,0,0,0,0,0,0,0
Sanford,North Carolina,28094,23220,14475,14773,11716,12253,10013,4960,4253,2977,2282,1044
Saratoga,North Carolina,408,379,342,381,391,409,366,292,0,0,136,123
Sawmills,North Carolina,5240,4921,4088,0,0,0,0,0,0,0,0,0
Scotland Neck,North Carolina,2059,2362,2575,2834,2869,2974,2730,2559,2339,2061,1726,1348
Seaboard,North Carolina,632,695,791,687,611,624,745,562,534,0,280,287
Seagrove,North Carolina,228,246,244,294,354,323,319,316,245,189,0,0
Sedalia,North Carolina,623,618,0,0,0,0,0,0,0,0,0,0
Selma,North Carolina,6073,5914,4600,4762,4356,3102,2639,2007,1857,1601,1331,816
Seven Devils,North Carolina,192,129,117,54,0,0,0,0,0,0,0,0
Seven Springs,North Carolina,110,86,163,166,188,207,197,170,156,164,179,114
Severn,North Carolina,276,263,260,309,356,310,340,323,354,284,0,0
Shallotte,North Carolina,3675,1381,965,680,597,480,493,381,214,174,139,149
Sharpsburg,North Carolina,2024,2421,1536,997,789,490,415,345,275,334,121,0
Shelby,North Carolina,20323,19477,14669,15310,16328,17698,15508,14037,10789,3609,3127,1874
Siler City,North Carolina,7887,6966,4808,4446,4689,4455,2501,2197,1730,1253,895,440
Simpson,North Carolina,416,464,410,407,0,0,0,0,209,0,0,0
Sims,North Carolina,282,128,124,192,205,205,207,173,122,0,0,0
Smithfield,North Carolina,10966,11510,7540,7288,6677,6117,5574,3678,2543,1895,1347,764
Snow Hill,North Carolina,1595,1514,1378,1374,1359,1043,946,928,826,700,450,405
Southern Pines,North Carolina,12334,10918,9129,8620,5937,5198,4272,3225,2524,743,542,517
Southern Shores,North Carolina,2714,2201,1447,520,0,0,0,0,0,0,0,0
Southport,North Carolina,2833,2351,2369,2824,2220,2034,1748,1760,1760,1664,1484,1336
Sparta,North Carolina,1770,1817,1957,1687,1304,1047,620,648,466,159,199,501
Speed,North Carolina,80,70,88,95,142,142,103,127,95,0,0,0
Spencer,North Carolina,3267,3355,3219,2938,3075,2904,3242,3072,3128,2510,1915,0
Spencer Mountain,North Carolina,37,51,135,169,300,0,0,0,0,0,0,0
Spindale,North Carolina,4321,4022,4040,4246,3848,4082,3891,3952,3066,0,0,0
Spring Hope,North Carolina,1320,1261,1221,1254,1334,1336,1275,1222,1222,1221,1246,666
Spring Lake,North Carolina,11964,8098,7524,6273,3968,4110,0,0,0,0,0,0
Spruce Pine,North Carolina,2175,2030,2010,2282,2333,2504,2280,1968,1546,717,0,0
Staley,North Carolina,393,347,204,204,239,260,236,255,241,157,0,0
Stallings,North Carolina,13831,3189,2132,1826,0,0,0,0,0,0,0,0
Stanfield,North Carolina,1486,1113,517,463,458,471,0,0,0,0,0,0
Stanley,North Carolina,3556,3053,2823,2341,2336,1980,1644,1036,1084,584,321,441
Stantonsburg,North Carolina,784,726,782,920,869,897,627,595,607,424,204,0
