city_fips,name,st,msp_yr,msp_accr,msp_affl,msp
809555,Brush,Colorado,2001,1,0,1
842330,Lake City,Colorado,2005,1,0,1
873825,Steamboat Springs,Colorado,2006,1,0,1
831605,Granby,Colorado,2008,1,0,1
843110,Lamar,Colorado,2009,1,0,1
864255,Rifle,Colorado,2009,0,1,1
847070,Lyons,Colorado,2010,0,1,1
851745,Montrose,Colorado,2012,0,1,1
864200,Ridgway,Colorado,2012,1,0,1
880865,Victor,Colorado,2012,1,0,1
878610,Trinidad,Colorado,2013,0,1,1
810105,Buena Vista,Colorado,2014,0,1,1
886090,Woodland Park,Colorado,2014,1,0,1
812910,Central City,Colorado,2015,0,1,1
823740,Elizabeth,Colorado,2015,0,1,1
844320,Leadville,Colorado,2015,0,1,1
883230,Wellington,Colorado,2015,1,0,1
849875,Meeker,Colorado,2016,0,1,1
885485,Windsor,Colorado,2016,1,0,1
842110,La Junta,Colorado,2018,0,1,1
1922395,Dubuque ,Iowa,1985,1,0,1
1909550,Burlington ,Iowa,1986,1,0,1
1940845,Keokuk ,Iowa,1986,1,0,1
1959925,Oskaloosa ,Iowa,1986,1,0,1
1911755,Cedar Falls ,Iowa,1987,1,0,1
1974280,Spencer ,Iowa,1987,1,0,1
1983910,West Des Moines ,Iowa,1987,1,0,1
1982875,Waverly ,Iowa,1989,1,0,1
1916500,Corning ,Iowa,1990,1,0,1
1938640,Iowa Falls ,Iowa,1990,1,0,1
1915825,Conrad ,Iowa,1991,1,0,1
1924690,Elkader ,Iowa,1991,1,0,1
1983145,Webster City,Iowa,1991,1,0,1
1933960,Hampton ,Iowa,1991,1,0,1
1956100,New Hampton ,Iowa,1993,1,0,1
1922890,Dunlap ,Iowa,1994,1,0,1
1907030,Bloomfield ,Iowa,1995,1,0,1
1932790,Greenfield ,Iowa,1995,1,0,1
1944400,Le Mars ,Iowa,1995,1,0,1
1912765,Charles City ,Iowa,1996,1,0,1
1969645,Sac City ,Iowa,1996,1,0,1
1982425,Waterloo ,Iowa,1996,1,0,1
1959835,Osceola ,Iowa,1997,1,0,1
1912495,Central City ,Iowa,2000,1,0,1
1975135,State Center ,Iowa,2000,1,0,1
1975675,Story City ,Iowa,2000,1,0,1
1949755,Marshalltown ,Iowa,2002,1,0,1
1954705,Mount Pleasant ,Iowa,2002,1,0,1
1950160,Mason City ,Iowa,2004,1,0,1
1960465,Ottumwa ,Iowa,2006,1,0,1
1983595,West Branch ,Iowa,2006,1,0,1
1984765,West Union ,Iowa,2006,1,0,1
1905590,Belle Plaine ,Iowa,2008,1,0,1
1954840,Mount Vernon ,Iowa,2008,1,0,1
1982335,Washington ,Iowa,2008,1,0,1
1986835,Woodbine ,Iowa,2008,1,0,1
1901855,Ames ,Iowa,2009,1,0,1
1912000,Cedar Rapids ,Iowa,2009,1,0,1
1915060,Colfax ,Iowa,2009,1,0,1
1919000,Davenport ,Iowa,2009,1,0,1
1921000,Des Moines ,Iowa,2009,1,0,1
1928605,Fort Madison ,Iowa,2009,1,0,1
1948945,Manning ,Iowa,2009,1,0,1
1912720,Chariton ,Iowa,2012,1,0,1
1939450,Jefferson ,Iowa,2012,1,0,1
1943275,Lansing ,Iowa,2012,1,0,1
1949485,Marion ,Iowa,2013,1,0,1
1903970,Avoca ,Iowa,2014,1,0,1
1933420,Guthrie Center ,Iowa,2014,1,0,1
1956505,Newton ,Iowa,2014,1,0,1
1912315,Centerville ,Iowa,2015,1,0,1
1933195,Grundy Center ,Iowa,2015,1,0,1
2303355,Bath,Maine,2001,1,0,1
2327085,Gardiner,Maine,2001,1,0,1
2364675,Saco,Maine,2001,1,0,1
2368875,Skowhegan,Maine,2005,1,0,1
2304860,Biddeford,Maine,2006,1,0,1
2363590,Rockland,Maine,2009,1,0,1
2303950,Belfast,Maine,2011,1,0,1
2308395,Brunswick,Maine,2012,1,0,1
2302100,Augusta,Maine,2013,1,0,1
2382105,Westbrook,Maine,2017,1,0,1
2609820,Boyne City,Michigan,2003,1,0,1
2665860,Portland,Michigan,2003,1,0,1
2657760,Niles,Michigan,2004,1,0,1
2633340,Grand Haven,Michigan,2005,1,0,1
2639540,Howell,Michigan,2005,1,0,1
2646000,Lansing,Michigan,2006,1,0,1
2661940,Owosso,Michigan,2009,1,0,1
2609000,Blissfield,Michigan,2010,1,0,1
2636920,Hart,Michigan,2010,1,0,1
2684880,Wayland,Michigan,2010,1,0,1
2671140,Saline,Michigan,2011,1,0,1
2646000,Lansing,Michigan,2012,1,0,1
2661620,Otsego,Michigan,2012,1,0,1
2634640,Grayling,Michigan,2014,0,1,1
2679760,Three Rivers,Michigan,2014,0,1,1
2684940,Wayne,Michigan,2014,0,1,1
2614780,Charlevoix,Michigan,2015,0,1,1
2653920,Milan,Michigan,2016,0,1,1
2671740,Sault Ste. Marie,Michigan,2017,0,1,1
2614820,Charlotte,Michigan,2017,0,1,1
2646040,Lapeer,Michigan,2017,0,1,1
2720546,Faribault ,Minnesota,2010,0,1,1
2753620,Red Wing ,Minnesota,2010,1,0,1
2770420,Willmar ,Minnesota,2010,0,1,1
2746042,New Ulm ,Minnesota,2011,0,1,1
2771032,Winona ,Minnesota,2013,1,0,1
2749300,Owatonna ,Minnesota,2014,0,1,1
2759350,Shakopee ,Minnesota,2014,1,0,1
2739878,Mankato,Minnesota,2017,0,1,1
2746924,Northfield ,Minnesota,2018,0,1,1
2767378,Wabasha ,Minnesota,2018,0,1,1
3761200,Shelby,North Carolina,1980,1,0,1
3746340,New Bern,North Carolina,1980,1,0,1
3766700,Tarboro,North Carolina,1980,1,0,1
3758860,Salisbury,North Carolina,1980,1,0,1
3771220,Washington,North Carolina,1980,1,0,1
3713240,Clinton,North Carolina,1982,1,0,1
3744400,Morganton,North Carolina,1982,1,0,1
3764740,Statesville,North Carolina,1982,1,0,1
3757500,Rocky Mount,North Carolina,1982,1,0,1
3774540,Wilson,North Carolina,1982,1,0,1
3726880,Goldsboro,North Carolina,1984,1,0,1
3737760,Lenoir,North Carolina,1984,1,0,1
3755900,Reidsville,North Carolina,1984,1,0,1
3759280,Sanford,North Carolina,1984,1,0,1
3770380,Wadesboro,North Carolina,1984,1,0,1
3730660,Henderson,North Carolina,1986,1,0,1
3730720,Hendersonville,North Carolina,1986,1,0,1
3762520,Smithfield,North Carolina,1986,1,0,1
3771500,Waynesville,North Carolina,1986,1,0,1
3735920,Kinston,North Carolina,1986,1,0,1
3720580,Elizabeth City,North Carolina,1988,1,0,1
3739700,Lumberton,North Carolina,1988,1,0,1
3744220,Mooresville,North Carolina,1988,1,0,1
3744800,Mount Airy,North Carolina,1988,1,0,1
3709060,Burlington,North Carolina,1988,1,0,1
3724640,Franklin,North Carolina,1990,1,0,1
3714100,Concord,North Carolina,1990,1,0,1
3747000,Newton,North Carolina,1990,1,0,1
3758460,Rutherfordton,North Carolina,1990,1,0,1
3700160,Aberdeen,North Carolina,1990,1,0,1
3743720,Mocksville,North Carolina,1991,1,0,1
3764260,Spruce Pine,North Carolina,1991,1,0,1
3763400,Southport,North Carolina,1991,1,0,1
3707080,Boone,North Carolina,1993,1,0,1
3700680,Albemarle,North Carolina,1993,1,0,1
3707720,Brevard,North Carolina,1993,1,0,1
3738060,Lexington,North Carolina,1993,1,0,1
3766500,Sylva,North Carolina,1995,1,0,1
3738320,Lincolnton,North Carolina,1995,1,0,1
